celltype,design,gene,lfc,padj
Astro,~arm + pmi + grp,ANTXR2,0.507,0.5427643632573947
Astro,~arm + pmi + grp,PAPPA2,0.738,0.13046730509700183
Astro,~arm + pmi + grp,TAFA1,-0.9592,0.4583779559386807
Astro,~sex + arm + pmi + grp,FAP,2.322,0.4337912862204896
Astro,~sex + arm + pmi + grp,HMCN2,-2.5271,0.3560099885231534
Astro,~sex + arm + pmi + grp,WNT5B,-1.1975,0.48479149148724315
Astro,~sex + arm + pmi + grp,COL21A1,1.7338,0.6784545324078439
Astro,~sex + arm + pmi + grp,TNC,1.6423,0.37063074615474967
Astro,~sex + arm + pmi + grp,ECM2,1.2755,0.8579807702903722
Astro,~sex + arm + pmi + grp,CCN2,2.25,0.5811951742413926
Astro,~sex + arm + pmi + grp,SEMA3D,1.4308,0.8751660699528564
Astro,~sex + arm + pmi + grp,ANXA1,1.7578,0.9130508540509339
Astro,~sex + arm + pmi + grp,COL12A1,1.7477,0.5658770425012534
Astro,~sex + arm + pmi + grp,USH2A,-1.1197,0.8182294279839655
Astro,~sex + arm + pmi + grp,IGFBP5,1.5055,0.755490906476592
Astro,~sex + arm + pmi + grp,CXCL2,2.8693,0.5245184066119601
Astro,~sex + arm + pmi + grp,LYPD6,-0.6071,0.8004585579163178
Astro,~sex + arm + pmi + grp,CHST9,0.9968,0.7894657000077864
Astro,~sex + arm + pmi + grp,ADAMTS19,-2.1002,0.9406236416425957
Astro,~sex + arm + pmi + grp,CRB2,0.9979,0.7288048733035585
Astro,~sex + arm + pmi + grp,COL8A1,1.7159,0.8452376745983013
Astro,~sex + arm + pmi + grp,COL26A1,-1.3378,0.8484272070133841
Astro,~sex + arm + pmi + grp,APOD,1.9232,0.8364521198809053
Astro,~sex + arm + pmi + grp,OTOS,0.9349,0.9991391830973007
Astro,~sex + arm + pmi + grp,KITLG,0.9769,0.8058106528635363
Astro,~sex + arm + pmi + grp,FN1,-1.0279,0.9987432196131186
Astro,~sex + arm + pmi + grp,ANTXR2,0.6414,0.8845609047434845
Astro,~sex + arm + pmi + grp,PAPPA2,0.7885,0.6784545324078439
Astro,~sex + arm + pmi + grp,TAFA1,-0.4904,0.9991391830973007
Astro,~logncell + grp,FAP,1.9846,0.00021129342260372638
Astro,~logncell + grp,HMCN2,-2.3821,0.0006456350383434421
Astro,~logncell + grp,WNT5B,-1.4603,0.007715103102221411
Astro,~logncell + grp,COL21A1,1.5676,0.06275809621862316
Astro,~logncell + grp,TNC,1.0249,0.07133583609106506
Astro,~logncell + grp,ECM2,1.4344,0.10075091352209029
Astro,~logncell + grp,CCN2,2.3903,0.02042570525453279
Astro,~logncell + grp,SEMA3D,1.5857,0.0826926187742684
Astro,~logncell + grp,ANXA1,2.1114,0.1450718541540794
Astro,~logncell + grp,COL12A1,1.4826,0.04023843125384972
