celltype,gene,baseMean,lfc_frozen,lfc_MLE,lfcSE_MLE,lfc_shrunk,lfcSE_shrunk,padj,shrink_ratio,shrink_converged,lfc_shrunk_altparam,shrink_converged_altparam,altparam_absdiff,lfc_shrunk_repaired,ratio_repaired,z,failed
Astro,FAP,81.70937902866567,2.6282097884548814,2.628216910739589,0.4509919332826005,2.4663676663441563,0.4559771896698701,4.530606079504249e-05,0.9384186123549872,True,2.4639400195704444,True,0.0024276467737118,2.4663676663441563,0.9384186123549871,5.827636187658142,False
Astro,HMCN2,9.626298961870743,-2.6301210356526603,-2.6301075122444755,0.4438900604440615,-2.4644646348579475,0.459243371574403,4.530606079504249e-05,0.9370204918941994,True,-2.4656474660606875,True,0.0011828312027399,-2.4656474660606875,0.9374702192141791,5.925132699780104,False
Astro,WNT5B,43.17164603561403,-1.5534859583251308,-1.5534718904138711,0.2917085268650917,-1.4335358127002138,0.299763902458699,0.0004058401635182,0.9227948194919032,True,-1.4344425457389038,True,0.00090673303869,-1.4344425457389038,0.9233785011434897,5.325425029938584,False
Astro,COL21A1,309.7677603840833,1.90974238288599,1.9097394371012888,0.4190913653535422,1.7063035512901898,0.4319543547156532,0.0052504646667071,0.8934745327771597,True,1.7029806274137833,True,0.0033229238764065,1.7063035512901898,0.8934745327771596,4.556857036389303,False
Astro,TNC,733.8328010404388,1.3542212433821534,1.3542399000277272,0.2982763480529541,1.2093458048200658,0.3071908640984722,0.0052504646667071,0.893007069718818,True,1.2074684238811344,True,0.0018773809389314,1.2093458048200658,0.893007069718818,4.540218857002044,False
Astro,ECM2,39.274389416788864,1.778672583389499,1.778673032756182,0.4190800053891469,1.5573670096262338,0.4306283146291581,0.0127892445924249,0.8755780185259691,True,1.5552327068313727,True,0.002134302794861,1.5573670096262338,0.8755780185259691,4.244232628336806,False
Astro,CCN2,8.354338998508663,2.306475521439229,2.3064895225931936,0.5528824140180519,1.9907858526340916,0.5665640754312314,0.0131672570855624,0.8631237355007988,True,1.9890599587356617,True,0.0017258938984294,1.9907858526340916,0.8631237355007989,4.171754181564338,False
Astro,SEMA3D,48.99638952932763,1.804775673807508,1.804772078730535,0.4320575400362094,1.5695231528426865,0.4470145472929281,0.0131672570855624,0.8696517257440501,True,1.5670560606996615,True,0.0024670921430247,1.5695231528426865,0.8696517257440501,4.177156770784009,False
Astro,ANXA1,23.6695339612748,2.574043369775902,2.57404503162081,0.61618315291772,2.2316027143641066,0.6414437434570284,0.0131672570855624,0.8669633541565991,True,0.0506596064783298,True,2.180943107885777,2.2316027143641066,0.8669633541565991,4.177402480792146,True
Astro,COL12A1,17.291814119298618,1.4539427806603662,1.4539520643857216,0.3511723429011072,1.2582082692955543,0.3623011054263644,0.0137815461914767,0.8653712182919409,True,1.2570749725034576,True,0.0011332967920967,1.2582082692955543,0.8653712182919409,4.140280673512963,False
Astro,USH2A,9.693144175223582,-1.2124741573475608,-1.2124403806773014,0.300048959940612,-1.041325773312925,0.3128872490516546,0.0168345392790724,0.858867611066544,True,-1.0420638097195685,True,0.0007380364066433,-1.0420638097195685,0.8594763308175565,4.040808476447567,False
Astro,IGFBP5,212.77867350243355,1.580790166841652,1.580783801605682,0.392706320756466,1.3542537727412567,0.4105873973083162,0.0175577562803952,0.8566976530033219,True,1.3514022347611503,True,0.0028515379801061,1.3542537727412567,0.8566976530033219,4.025358691860714,False
Astro,CXCL2,14.76827573555461,2.224338126072679,2.2243598891235647,0.55820909649465,1.891534617996388,0.581856041254313,0.0201572797514558,0.850372562122438,True,0.0602580461915617,True,1.8312765718048256,1.891534617996388,0.8503725621224381,3.984814835680277,True
Astro,LYPD6,170.68809154806533,-0.6560294444245006,-0.656014261009475,0.173352970810005,-0.5527311146366017,0.1802571716386215,0.0310595995894787,0.8425596019605716,True,-0.5533578790689779,True,0.0006267644323761,-0.5533578790689779,0.8435150147764633,3.7842689279808606,False
Astro,CHST9,241.81581018553263,0.988510866891416,0.9885131290568108,0.2645086843904572,0.8220150668827567,0.2772783499618076,0.0344786835809902,0.8315671716642569,True,0.8211600524359166,True,0.0008550144468401,0.8220150668827567,0.831567171664257,3.7371670096003613,False
Astro,ADAMTS19,29.804974577724288,-2.9795229313260485,-2.9795117194819216,0.8071038164117086,-0.0303480325118458,0.1036099432446249,0.0382099225778608,0.0101855724592091,True,-2.449635907218574,True,2.419287874706728,-2.449635907218574,0.8221601852415326,3.691609008526921,True
