contrast,gene,celltype,motif,family,is_foreground,dz,cv_p,cv_padj,rna_lfc,rna_se,rna_ci_lo,rna_ci_hi,rna_p,rna_q,rna_baseMean,testable,cv_sign,rna_sign,concordant,category
ADvHA_projection,BARHL2,Endo,BARHL2,homeobox-other,True,0.152371132809267,0.18169084645071,0.318337426459031,,,,,,,,False,1.0,,,D_not_testable
ADvHA_projection,EGR3,Endo,EGR3,EGR-WT1,True,0.130340108439765,0.236348091253393,0.382630030085416,,,,,,,,False,1.0,,,D_not_testable
ADvHA_projection,NR2C1,Endo,NR2C1,NR,True,-0.213384234438864,0.0350192101901295,0.114855751556228,-0.0822646674250574,0.243644071232258,-0.5598070470402831,0.3952777121901683,0.7356323814860477,0.9930509432149832,16.460490398872142,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,SMAD5,Endo,SMAD5,SMAD,True,0.339552862134304,0.0049471583906115,0.0460522244302519,0.0304037591607519,0.2062204288893499,-0.3737882814623739,0.4345957997838777,0.8827900200340327,0.9960211477852252,29.005034265703337,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,SOX8,Endo,SOX8,SOX,True,0.258263851337872,0.0673797768938992,0.16341532097256,-1.5104161883291736,0.7887925246407983,-3.0564495366251383,0.0356171599667911,0.0555121497307144,0.9292461379773714,2.2142452519796256,True,1.0,-1.0,0.0,C_discordant
ADvHA_projection,SOX9,Endo,SOX9,SOX,True,0.213426426950431,0.0971463243281548,0.212046976895593,-0.5890915454294775,0.8397274467667084,-2.234957341092226,1.0567742502332709,0.4829741396138426,0.9779134917552668,6.269235771883608,True,1.0,-1.0,0.0,C_discordant
ADvHA_projection,TCF7L1,Endo,TCF7L1,TCF-LEF,True,0.194019238444833,0.161556517733567,0.298454415628062,0.2447600831578299,0.2270560957745296,-0.200269864560248,0.6897900308759078,0.2810463118352174,0.9674591162924586,25.6602513129394,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,TCF7L2,Endo,TCF7L2,TCF-LEF,True,0.283653352508476,0.0475036568841405,0.132466144527141,0.1485344474842863,0.2050990581976699,-0.2534597065831467,0.5505286015517192,0.4689378421400716,0.9779134917552668,60.23130024109498,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,E2F3,Micro,E2F3,E2F-DP,True,0.0161015236054437,0.700609077536093,0.760695619348794,0.4588208918357295,0.1883131239994037,0.0897271687968982,0.8279146148745608,0.0148310480540128,0.1864744513287983,176.67165960560772,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,HOXD9,Micro,HOXD9,HOX,True,0.269242648943179,0.0005840468796841,0.0075189444506191,,,,,,,,False,1.0,,,D_not_testable
ADvHA_projection,TP63,Micro,TP63,TP53fam,True,0.158880245151584,0.0207353233499467,0.038044810668163,0.1441396035611992,0.5897529745182574,-1.011776226494585,1.3000554336169836,0.8069158201027455,0.9351136930003076,2.583687328864536,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,TP73,Micro,TP73,TP53fam,True,0.110333871639377,0.0677972259676327,0.101216141597905,-0.3286024589113339,1.064774333200584,-2.4155601519844785,1.7583552341618107,0.7576164611427356,,0.5370869248053514,True,1.0,-1.0,0.0,C_discordant
ADvHA_projection,MYF5,OPC,MYF5,bHLH-neural,True,0.447464405931868,0.0080830327419027,0.0220541367483811,,,,,,,,False,1.0,,,D_not_testable
ADvHA_projection,TWIST1,OPC,TWIST1,TWIST,True,0.448278875161311,0.00128943368662,0.0101299587733144,,,,,,,,False,1.0,,,D_not_testable
ADvHA_projection,ZBTB18,OPC,ZBTB18,ZBTB,True,0.434133108302978,0.001402077282066,0.0104087605717617,-0.2481606199599424,0.29268889076717,-0.8218308458635956,0.3255096059437107,0.3965132468255674,0.7351485550851978,50.68704821930091,True,1.0,-1.0,0.0,C_discordant
ADvHA_projection,ELK1,Oligo,ELK1,ETS,True,-0.287220233671244,0.0334665680025654,0.0458535444710474,-0.4247532958286658,0.3374396978702428,-1.0861351036543416,0.2366285119970101,0.2081194930658655,0.4624045551492751,25.135326455853537,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,ELK3,Oligo,ELK3,ETS,True,-0.286405895797532,0.0365529541957301,0.0485073794672897,0.3490947185862955,0.2489123993946219,-0.1387735842271634,0.8369630213997543,0.1607718907873181,0.40065058158013,47.40664594388136,True,-1.0,1.0,0.0,C_discordant
ADvHA_projection,ETV3,Oligo,ETV3,ETS,True,-0.266362808724687,0.0371215520671488,0.0491588754362034,0.411937399946231,0.2252598149606175,-0.0295718373765792,0.8534466372690412,0.0674413843584772,0.2469742440618494,24.220964474402187,True,-1.0,1.0,0.0,C_discordant
ADvHA_projection,FEV,Oligo,FEV,ETS,True,-0.271254901551208,0.0382741500973632,0.0504740354408977,,,,,,,,False,-1.0,,,D_not_testable
HAvYA_primary,EHF,Astro,EHF,ETS,True,-0.262498130160386,0.0039473499119027,0.5172314842459,-0.8859735371197087,0.6457639835880924,-2.15167094495237,0.3797238707129523,0.1700704994861814,,1.713176615385053,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,ELF1,Astro,ELF1,ETS,True,-0.237992868693513,0.0054760704395554,0.5172314842459,0.311939004267259,0.1352322388643361,0.0468838160931602,0.5769941924413577,0.0210720457568893,0.3340654805686593,213.74232281483435,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,ELF3,Astro,ELF3,ETS,True,-0.218452587060502,0.0026901656671146,0.5172314842459,,,,,,,,False,-1.0,,,D_not_testable
