gene,n_sources,sources,is_core,category
A1BG,2,HPA|UniProt,True,other_secreted
A2M,2,HPA|UniProt,True,other_secreted
A2ML1,2,HPA|UniProt,True,other_secreted
AADACL2,2,HPA|UniProt,True,other_secreted
ABHD15,2,HPA|UniProt,True,other_secreted
ABI3BP,2,HPA|UniProt,True,other_secreted
ABO,2,HPA|UniProt,True,other_secreted
ACAN,2,HPA|UniProt,True,ecm_matrisome_like
ACE,2,HPA|UniProt,True,other_secreted
ACE2,2,HPA|UniProt,True,other_secreted
ACP3,2,HPA|UniProt,True,other_secreted
ACP7,2,HPA|UniProt,True,other_secreted
ACRBP,2,HPA|UniProt,True,other_secreted
ADA2,2,HPA|UniProt,True,other_secreted
ADAM12,2,HPA|UniProt,True,other_secreted
ADAM23,2,HPA|UniProt,True,other_secreted
ADAM28,2,HPA|UniProt,True,other_secreted
ADAM9,2,HPA|UniProt,True,other_secreted
ADAMDEC1,2,HPA|UniProt,True,other_secreted
ADAMTS1,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS10,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS12,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS13,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS14,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS15,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS16,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS17,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS18,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS19,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS2,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS20,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS3,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS4,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS5,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS6,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS7,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS8,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS9,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL1,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL2,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL3,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL4,2,HPA|UniProt,True,ecm_matrisome_like
