"celltype","arm","n_genes","n_fg_peaks","motif","tf","OR","p","padj","dz","dz_sign_ok","n_targets","verdict","pred_match"
"Astro","DOWN",8,88,"MA1634.1","BATF",0.977878330819507,0.580290042021812,0.998062915028396,0.685002997551451,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0835.2","BATF3",0.823021412516266,0.753432053223119,0.998062915028396,0.614242946222016,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0102.4","CEBPA",0.497780596068484,0.963113884892405,0.998062915028396,0.153326701114209,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0836.2","CEBPD",0.242524916943522,0.996295626990932,0.998062915028396,0.155911653879716,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0598.3","EHF",0.649867374005305,0.924148444577171,0.998062915028396,-0.224727347118274,TRUE,2,"ns",TRUE
"Astro","DOWN",8,88,"MA0473.3","ELF1",0.498639455782313,0.983167481533845,0.998062915028396,-0.205733553250498,TRUE,4,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0761.2","ETV1",0.35609756097561,0.998062915028396,0.998062915028396,-0.222523719285915,TRUE,3,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0764.2","ETV4",0.864197530864197,0.736041889391488,0.998062915028396,-0.202461483325651,TRUE,6,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0477.2","FOSL1",0.807216494845361,0.763311575393033,0.998062915028396,0.684687564769101,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0482.2","GATA4",1.23333333333333,0.356277816344407,0.998062915028396,-0.16800288264852,TRUE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA1104.2","GATA6",1.45253164556962,0.209359050095489,0.998062915028396,-0.0870205669407688,TRUE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0490.2","JUNB",0.731315544935617,0.828775614738292,0.998062915028396,0.584221351504153,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0491.2","JUND",0.675553034600113,0.865194942959725,0.998062915028396,0.628725811929123,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0039.4","KLF4",1.32340292438815,0.159914621752944,0.998062915028396,-0.0263859245129547,TRUE,7,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0684.2","RUNX3",0.969821673525377,0.592326967452683,0.998062915028396,-0.00748471113756655,TRUE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0080.5","SPI1",0.967984477322338,0.595613262938507,0.998062915028396,-0.103463743400128,TRUE,8,"SUGGESTIVE",FALSE
"Astro","DOWN",8,88,"MA0769.2","TCF7",0.570854847963282,0.92567176836488,0.998062915028396,-0.00879414469571083,TRUE,2,"ns",TRUE
"Astro","DOWN",8,88,"MA0090.3","TEAD1",1.01962533452275,0.528437819290988,0.998062915028396,0.186789088269854,FALSE,4,"ns",FALSE
"Astro","DOWN",8,88,"MA0809.2","TEAD4",0.888195888195888,0.684443416377276,0.998062915028396,0.225142157954191,FALSE,4,"ns",FALSE
"Astro","UP",18,72,"MA0517.1","STAT1::STAT2",1.71099407504937,0.0339470481607706,0.667625280495156,0.19268095593656,TRUE,10,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0050.2","IRF1",1.66096866096866,0.0287633172297294,0.667625280495156,0.171076912776361,TRUE,13,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0102.4","CEBPA",2.05,0.0333908107381213,0.667625280495156,0.153326701114209,TRUE,7,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0476.1","FOS",1.60748349229641,0.0959204118907439,0.938290338564002,0.696812449315302,TRUE,10,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0488.1","JUN",1.84836065573771,0.0662105462105745,0.938290338564002,0.101256194462714,TRUE,7,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0137.3","STAT1",1.53493975903614,0.138865997365752,0.938290338564002,-0.193512883632054,FALSE,7,"ns",TRUE
"Astro","UP",18,72,"MA0795.1","SMAD3",2.05882352941176,0.166316908771827,0.938290338564002,-0.0182735797024825,FALSE,3,"ns",TRUE
"Astro","UP",18,72,"MA1563.1","SOX18",1.75,0.125038167277115,0.938290338564002,-0.016235865657624,FALSE,6,"ns",FALSE
"Astro","UP",18,72,"MA0835.2","BATF3",1.44959857270294,0.166037988450855,0.938290338564002,0.614242946222016,TRUE,9,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0836.2","CEBPD",1.57311320754717,0.179218295869994,0.938290338564002,0.155911653879716,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0477.2","FOSL1",1.43636363636364,0.182682115933986,0.938290338564002,0.684687564769101,TRUE,9,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0490.2","JUNB",1.44262295081967,0.190838712928272,0.938290338564002,0.584221351504153,TRUE,8,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA1421.1","TCF7L1",1.42951833848873,0.210134602163224,0.953687809817708,0.0106425815043841,TRUE,8,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0491.2","JUND",1.38709677419355,0.232843539027026,0.981269200185322,0.628725811929123,TRUE,8,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0051.1","IRF2",1.11149825783972,0.448735841100973,1,0.152039085386697,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0101.1","REL",1.09917355371901,0.486530851486274,1,0.159873942497655,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0107.1","RELA",1.17934782608696,0.400316956454922,1,0.109286662279595,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0478.1","FOSL2",1.01424050632911,0.547531559014039,1,0.737318559027149,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0513.1","SMAD2::SMAD3::SMAD4",0.980327868852459,0.577574397458119,1,-0.126056894130809,FALSE,8,"ns",TRUE
"Astro","UP",18,72,"MA0523.1","TCF7L2",1.16071428571429,0.415265744144429,1,-0.0280570651973618,FALSE,5,"ns",FALSE
"Astro","UP",18,72,"MA0076.2","ELK4",0.163825055596738,0.996810706553015,1,-0.144094895315012,FALSE,1,"ns",FALSE
"Astro","UP",18,72,"MA0144.2","STAT3",1.02882690511144,0.517842128286866,1,-0.173483903562857,FALSE,7,"ns",TRUE
"Astro","UP",18,72,"MA0599.1","KLF5",0.792619261926193,0.826463148270468,1,-0.0207009872341662,FALSE,10,"ns",FALSE
"Astro","UP",18,72,"MA0645.1","ETV6",0.684210526315789,0.827653639290158,1,-0.190509428952298,FALSE,4,"ns",FALSE
"Astro","UP",18,72,"MA0475.2","FLI1",0,1,1,-0.0959748581409706,FALSE,0,"ns",FALSE
"Astro","UP",18,72,"MA0157.2","FOXO3",1.26470588235294,0.417384945512208,1,0.0107023317334393,TRUE,4,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0652.1","IRF8",1.02714932126697,0.562055733565694,1,0.0999346524892656,TRUE,3,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0759.1","ELK3",0,1,1,-0.117590119303624,FALSE,0,"ns",FALSE
"Astro","UP",18,72,"MA0474.2","ERG",0,1,1,-0.126736598485534,FALSE,0,"ns",FALSE
"Astro","UP",18,72,"MA0098.3","ETS1",0,1,1,-0.151983950865121,FALSE,0,"ns",FALSE
"Astro","UP",18,72,"MA0762.1","ETV2",0.188732394366197,0.993457074830958,1,-0.163984055473528,FALSE,1,"ns",FALSE
"Astro","UP",18,72,"MA0156.2","FEV",0,1,1,-0.0971787600373371,FALSE,0,"ns",FALSE
"Astro","UP",18,72,"MA0768.1","LEF1",0.671641791044776,0.853301135034891,1,-0.0378673118669927,FALSE,4,"ns",FALSE
"Astro","UP",18,72,"MA0105.4","NFKB1",1.03761755485893,0.536493090568102,1,0.0369931416410176,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0778.1","NFKB2",1.05741626794258,0.520033410828764,1,0.0385163041523488,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0511.2","RUNX2",0.576470588235294,0.857446022743867,1,0.0204783496950799,TRUE,2,"ns",TRUE
"Astro","UP",18,72,"MA0808.1","TEAD3",0.661418932733592,0.861301550261751,1,0.206430650834219,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0466.2","CEBPB",0.492957746478873,0.868469874112714,1,0.187904473563097,TRUE,1,"ns",TRUE
"Astro","UP",18,72,"MA0838.1","CEBPG",0.375947995666305,0.927106747271235,1,0.19399769442533,TRUE,1,"ns",TRUE
"Astro","UP",18,72,"MA0848.1","FOXO4",1.28125,0.326354509538838,1,0.0495869299985648,TRUE,7,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0028.2","ELK1",0,1,1,-0.0861997654078708,FALSE,0,"ns",FALSE
"Astro","UP",18,72,"MA0036.3","GATA2",1.06859320419181,0.521008874327123,1,-0.15304904295558,FALSE,4,"ns",TRUE
"Astro","UP",18,72,"MA1117.1","RELB",0.920398009950249,0.639737224506051,1,-0.00733932168052853,FALSE,5,"ns",TRUE
"Astro","UP",18,72,"MA1418.1","IRF3",0.850117096018735,0.732554932813648,1,0.0990577327018318,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA1515.1","KLF2",0.602716468590832,0.95058007769302,1,0.0477291242836028,TRUE,8,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0079.4","SP1",0.944700460829493,0.619248815876805,1,0.0570710104964125,TRUE,9,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA1634.1","BATF",1.07412491420728,0.478499886042616,1,0.685002997551451,TRUE,7,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0598.3","EHF",0.693379790940767,0.879895446372646,1,-0.224727347118274,FALSE,8,"ns",FALSE
"Astro","UP",18,72,"MA0473.3","ELF1",0.656519763743753,0.916645541002608,1,-0.205733553250498,FALSE,7,"ns",FALSE
"Astro","UP",18,72,"MA0761.2","ETV1",0.571428571428571,0.960479480248217,1,-0.222523719285915,FALSE,7,"ns",FALSE
"Astro","UP",18,72,"MA0764.2","ETV4",0.592505854800937,0.960723649260679,1,-0.202461483325651,FALSE,10,"ns",FALSE
"Astro","UP",18,72,"MA0482.2","GATA4",1,0.568721060759287,1,-0.16800288264852,FALSE,5,"ns",TRUE
"Astro","UP",18,72,"MA1104.2","GATA6",0.982116244411326,0.584450981107785,1,-0.0870205669407688,FALSE,5,"ns",TRUE
"Astro","UP",18,72,"MA0039.4","KLF4",0.738095238095238,0.887862763571407,1,-0.0263859245129547,FALSE,12,"ns",FALSE
"Astro","UP",18,72,"MA0684.2","RUNX3",0.792007703418392,0.751644811908754,1,-0.00748471113756655,FALSE,4,"ns",TRUE
"Astro","UP",18,72,"MA0080.5","SPI1",1.16666666666667,0.321498665440538,1,-0.103463743400128,FALSE,14,"ns",TRUE
"Astro","UP",18,72,"MA0769.2","TCF7",0.416879795396419,0.967973725368755,1,-0.00879414469571083,FALSE,3,"ns",FALSE
"Astro","UP",18,72,"MA0090.3","TEAD1",0.72605459057072,0.832176732484422,1,0.186789088269854,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0809.2","TEAD4",0.550156195765359,0.936432254632415,1,0.225142157954191,TRUE,5,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA0051.1","IRF2",1.55172413793103,0.348832085919017,1,0.0779189961715174,FALSE,3,"ns",FALSE
"Endo","DOWN",8,32,"MA0101.1","REL",0.668965517241379,0.799917345469711,1,-0.0347492044222723,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0107.1","RELA",0.280547409579668,0.967005166070354,1,-0.0133191056836375,TRUE,1,"ns",FALSE
"Endo","DOWN",8,32,"MA0476.1","FOS",0.494736842105263,0.903515928315841,1,-0.0996557569851282,TRUE,1,"ns",FALSE
"Endo","DOWN",8,32,"MA0478.1","FOSL2",0.842364532019704,0.698984987949215,1,0.0712958873357943,FALSE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0488.1","JUN",1.84381338742394,0.269313863466377,1,-0.158427739860003,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0513.1","SMAD2::SMAD3::SMAD4",1.06477732793522,0.526489499904311,1,-0.0458395272569144,TRUE,4,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA0517.1","STAT1::STAT2",0.873015873015873,0.683273019940767,1,0.112165264936016,FALSE,4,"ns",FALSE
"Endo","DOWN",8,32,"MA0523.1","TCF7L2",1.03804994054697,0.575642271763489,1,-0.348328645281914,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0076.2","ELK4",0.364764267990074,0.931346177972122,1,-0.228465628707538,TRUE,1,"ns",TRUE
