tf,group,rel,cpm,celltype
RELA,YA,28,68.8904469915616,Astro
RELA,YA,-11,68.9037051849483,Astro
RELA,YA,57,70.3158964366702,Astro
RELA,YA,18,69.6663371881394,Astro
RELA,YA,-91,63.6945676509444,Astro
RELA,YA,125,68.0315094911096,Astro
RELA,YA,89,64.0029521995636,Astro
RELA,YA,50,66.5757764231125,Astro
RELA,YA,-59,65.8453180548614,Astro
RELA,YA,141,64.4639248956586,Astro
RELA,YA,105,65.4114274367662,Astro
RELA,YA,66,66.6304494740843,Astro
RELA,YA,-43,69.4892717969529,Astro
RELA,YA,180,63.0462843514984,Astro
RELA,YA,71,71.5000171362642,Astro
RELA,YA,185,63.6667342048347,Astro
RELA,YA,76,68.0529193205544,Astro
RELA,YA,95,65.2770244074008,Astro
RELA,YA,112,66.3783326583098,Astro
RELA,YA,128,68.0609331189245,Astro
RELA,YA,136,68.1748769688931,Astro
RELA,YA,143,67.7951423294749,Astro
RELA,YA,159,68.3127264185827,Astro
RELA,YA,178,65.8224556041921,Astro
RELA,YA,183,63.1950818678442,Astro
RELA,YA,196,63.0751756168622,Astro
NFKB1,YA,123,87.8312795332905,Astro
NFKB1,YA,153,91.4525686823653,Astro
RELA,YA,-198,59.303043695286,Astro
RELA,YA,-154,60.8493213590075,Astro
RELA,YA,-85,63.3541291350673,Astro
RELA,YA,-72,68.4842285629474,Astro
RELA,YA,-65,68.6866938570253,Astro
RELA,YA,-57,65.377675400253,Astro
RELA,YA,-40,70.4300410304825,Astro
RELA,YA,-28,66.140840903228,Astro
RELA,YA,-17,70.056853632883,Astro
RELA,YA,4,90.8257289452106,Astro
RELA,YA,7,41.6859215430135,Astro
RELA,YA,14,77.8310001580256,Astro
RELA,YA,20,72.5221341491925,Astro
RELA,YA,22,73.0160051166732,Astro
RELA,YA,37,65.5079826558363,Astro
RELA,YA,68,68.2668339888522,Astro
RELA,YA,72,70.9228742471119,Astro
RELA,YA,83,64.0154433084479,Astro
RELA,YA,139,68.4346618280998,Astro
RELA,YA,145,68.7041244544305,Astro
RELA,YA,147,69.3776511626318,Astro
RELA,YA,160,64.7616865248647,Astro
RELA,YA,162,67.1291500577876,Astro
RELA,YA,182,67.6940894273874,Astro
RELA,YA,189,64.37005811593,Astro
RELA,YA,194,65.7762489746206,Astro
RELA,YA,-126,63.1880138490338,Astro
RELA,YA,-69,69.7583726336075,Astro
RELA,YA,-61,67.0392806469887,Astro
RELA,YA,-54,63.4861565048253,Astro
RELA,YA,-33,68.7846189417052,Astro
RELA,YA,-29,67.8036182416119,Astro
RELA,YA,-27,69.5360392332027,Astro
RELA,YA,-22,72.4266374025988,Astro
RELA,YA,39,67.9542186561059,Astro
RELA,YA,55,66.8988430826194,Astro
TEAD4,YA,-175,42.4998084774515,Astro
TEAD4,YA,-142,44.9674907057883,Astro
TEAD4,YA,-139,44.8205634304655,Astro
TEAD4,YA,-126,48.9887436142035,Astro
TEAD4,YA,-92,44.4215608486001,Astro
TEAD4,YA,38,49.0773514715671,Astro
TEAD4,YA,87,48.711392897187,Astro
TEAD4,YA,118,48.2446637771858,Astro
TEAD4,YA,180,47.9928716674334,Astro
IRF1,YA,-168,298.562511545335,Astro
IRF1,YA,-78,350.442205692873,Astro
TEAD1,YA,-132,45.096507187592,Astro
TEAD4,YA,-132,44.2201482511225,Astro
IRF1,YA,14,245.441631891926,Astro
TEAD1,YA,-40,49.1799323273493,Astro
TEAD4,YA,-40,43.5873993960931,Astro
IRF1,YA,-120,347.208157606032,Astro
IRF1,YA,-188,315.923029733467,Astro
IRF1,YA,-194,320.43976137576,Astro
IRF1,YA,-200,326.811563355012,Astro
IRF1,YA,50,399.172063670839,Astro
TEAD1,YA,-4,111.616496212739,Astro
TEAD4,YA,-4,86.652035787741,Astro
IRF1,YA,-84,343.423127937561,Astro
IRF1,YA,-152,332.682808593745,Astro
IRF1,YA,-158,320.998736553523,Astro
IRF1,YA,-164,309.34704925891,Astro
IRF1,YA,65,375.129337290225,Astro
TEAD1,YA,11,64.9845261431496,Astro
TEAD4,YA,11,46.1557217057546,Astro
IRF1,YA,-69,342.024542717575,Astro
IRF1,YA,-137,355.324113817845,Astro
IRF1,YA,-143,346.217933214648,Astro
IRF1,YA,-149,361.936906004992,Astro
IRF1,YA,84,383.298386416007,Astro
TEAD1,YA,30,49.5464319794515,Astro
TEAD4,YA,30,46.9306724823852,Astro
IRF1,YA,-50,395.490882027542,Astro
IRF1,YA,-118,355.286380056324,Astro
IRF1,YA,-124,344.684318408289,Astro
IRF1,YA,-130,334.778380365333,Astro
IRF1,YA,89,378.584538787606,Astro
TEAD1,YA,35,51.3064516513941,Astro
TEAD4,YA,35,49.3920308200903,Astro
IRF1,YA,-45,413.72487679723,Astro
IRF1,YA,-113,339.226276991494,Astro
IRF1,YA,-119,348.372235546684,Astro
IRF1,YA,-125,336.98256706858,Astro
IRF1,YA,115,384.972417278325,Astro
TEAD1,YA,61,50.58025669465,Astro
TEAD4,YA,61,48.9499877818895,Astro
IRF1,YA,-19,272.089777056687,Astro
IRF1,YA,-87,348.060124778265,Astro
IRF1,YA,-93,343.879860615043,Astro
IRF1,YA,-99,338.496758351771,Astro
IRF1,YA,131,402.423715263166,Astro
TEAD1,YA,77,47.5157362478173,Astro
TEAD4,YA,77,50.1586787280487,Astro
IRF1,YA,-3,52.2386844631591,Astro
IRF1,YA,-71,352.307203007274,Astro
IRF1,YA,-77,352.786778054554,Astro
IRF1,YA,-83,340.842037387206,Astro
IRF1,YA,147,393.847560963957,Astro
TEAD1,YA,93,49.0769211908882,Astro
TEAD4,YA,93,45.797095443715,Astro
IRF1,YA,13,206.737286439353,Astro
IRF1,YA,-55,367.797733646302,Astro
IRF1,YA,-61,362.107172534631,Astro
IRF1,YA,-67,353.524486823812,Astro
IRF1,YA,155,379.965190939037,Astro
TEAD1,YA,101,50.3377501017787,Astro
TEAD4,YA,101,50.8542271784306,Astro
IRF1,YA,21,373.317837432997,Astro
IRF1,YA,-47,407.312264986124,Astro
IRF1,YA,-53,382.191539959587,Astro
IRF1,YA,-59,360.720831577592,Astro
IRF1,YA,163,364.582607800334,Astro
TEAD1,YA,109,47.9366466372702,Astro
TEAD4,YA,109,47.1287023697554,Astro
IRF1,YA,29,410.585061615894,Astro
IRF1,YA,-39,392.760174585128,Astro
IRF1,YA,-51,385.370945816986,Astro
IRF1,YA,180,393.937201553601,Astro
TEAD1,YA,126,53.053870153518,Astro
TEAD4,YA,126,51.2620272185072,Astro
IRF1,YA,46,417.572707026965,Astro
IRF1,YA,-22,352.227409039725,Astro
IRF1,YA,-28,400.912673829474,Astro
IRF1,YA,-34,397.612440393515,Astro
IRF1,YA,181,368.378718609503,Astro
TEAD1,YA,127,48.8016125139258,Astro
TEAD4,YA,127,50.1297191334984,Astro
IRF1,YA,47,407.252548434786,Astro
IRF1,YA,-21,329.170094725666,Astro
IRF1,YA,-27,397.799393593845,Astro
