tf,donor,group,center_n,flank_n,win_n,dtot,n,fp_depth,access,celltype
RELA,28,HA,1288,9785,19076,944074,33990,0.216591634244955,0.594470231548829,Endo
RELA,29,YA,2240,16922,33570,1442658,33990,0.210604957125112,0.684599832071516,Endo
RELA,30,YA,2010,14631,28698,914812,33990,0.157447155032135,0.922929682996635,Endo
RELA,32,HA,439,3664,7084,322474,33990,0.336093803281316,0.646297808450296,Endo
RELA,35,HA,8559,63812,124819,6002596,33990,0.193642251298963,0.61177316041679,Endo
RELA,37,HA,262,2181,4145,209548,33990,0.319791209403104,0.581955598031809,Endo
RELA,39,YA,712,5535,10869,410382,33990,0.244847229748453,0.779202111060901,Endo
RELA,43,YA,781,6283,12098,641290,33990,0.293539769588966,0.555019124234966,Endo
RELA,44,HA,1378,10512,20535,865392,33990,0.222738512045083,0.698120942769936,Endo
RELA,45,YA,4442,33839,66246,3164364,33990,0.223943582926784,0.615916814749168,Endo
RELA,47,YA,201,1578,3058,233616,33990,0.235665358361268,0.385109057343902,Endo
STAT3,2,YA,876,7459,14678,427878,65070,0.374343093015273,0.527188732365843,Endo
STAT3,7,YA,1292,10747,20900,609070,65070,0.344898971744047,0.527349174736011,Endo
STAT3,11,HA,3706,30765,59874,2103624,65070,0.346763984155317,0.437410646306346,Endo
STAT3,14,HA,428,3423,6655,181186,65070,0.277399764010932,0.564472275141392,Endo
STAT3,15,HA,12664,103925,202783,5504242,65070,0.331996733690837,0.566178296205217,Endo
STAT3,16,HA,1867,16409,31787,897310,65070,0.425571857865523,0.544410167344479,Endo
STAT3,28,HA,1566,13574,26072,944074,65070,0.404705657620692,0.424411852108062,Endo
STAT3,29,YA,2748,23233,45529,1442658,65070,0.372011882800905,0.48500243210573,Endo
STAT3,30,YA,2223,19810,38123,914812,65070,0.446290764455562,0.640434043407183,Endo
STAT3,32,HA,610,5087,9833,322474,65070,0.340583541057677,0.468608894745447,Endo
STAT3,35,HA,10471,89114,173112,6002596,65070,0.384239368641585,0.443207654834865,Endo
STAT3,37,HA,359,3011,5858,209548,65070,0.338359779356882,0.429620543793179,Endo
STAT3,39,YA,831,7532,14656,410382,65070,0.461439817628789,0.548840745923796,Endo
STAT3,43,YA,1044,9122,17677,641290,65070,0.412597172287124,0.423616909422976,Endo
STAT3,44,HA,1679,13865,27112,865392,65070,0.336231282303797,0.481468493623799,Endo
STAT3,45,YA,5170,45565,88354,3164364,65070,0.433431611812653,0.429100454056273,Endo
STAT3,47,YA,301,2456,4760,233616,65070,0.29707078556433,0.313129195622039,Endo
TEAD1,2,YA,506,3635,7252,427878,41242,0.132969599252461,0.410958644615268,Endo
TEAD1,7,YA,756,5260,10332,609070,41242,0.0909786008928804,0.411317768441038,Endo
TEAD1,11,HA,2218,15443,30331,2103624,41242,0.094330919985548,0.349606013435553,Endo
TEAD1,14,HA,224,1695,3260,181186,41242,0.191135354187698,0.436267885446329,Endo
TEAD1,15,HA,7246,49194,96731,5504242,41242,0.0589633314840174,0.426116586864368,Endo
TEAD1,16,HA,1163,7964,15682,897310,41242,0.0698115585954263,0.423759281800296,Endo
TEAD1,28,HA,981,6638,13014,944074,41242,0.0527718627140307,0.334245098451299,Endo
TEAD1,29,YA,1694,11481,22641,1442658,41242,0.0557273425023894,0.380533151977307,Endo
TEAD1,30,YA,1332,9651,18977,914812,41242,0.149762322665764,0.502986103898663,Endo
TEAD1,32,HA,363,2557,5066,322474,41242,0.103862749531977,0.380917357494381,Endo
TEAD1,35,HA,6606,45216,89025,6002596,41242,0.0706458260756005,0.359611150883048,Endo
TEAD1,37,HA,227,1572,3092,209548,41242,0.0775478665128903,0.357780154448037,Endo
TEAD1,39,YA,582,3841,7526,410382,41242,0.0174520522159938,0.444668322832712,Endo
TEAD1,43,YA,723,4711,9281,641290,41242,-4.73618825655495e-05,0.350913912654819,Endo
TEAD1,44,HA,950,6963,13553,865392,41242,0.16462649056535,0.379736938144745,Endo
TEAD1,45,YA,3183,22606,44028,3164364,41242,0.12308293789794,0.337367159729203,Endo
TEAD1,47,YA,184,1395,2702,233616,41242,0.188940575456853,0.280441991923663,Endo
TEAD4,2,YA,476,3546,7006,427878,40964,0.182048128290927,0.399712581390958,Endo
TEAD4,7,YA,717,5117,10103,609070,40964,0.126029689367289,0.404930777021544,Endo
TEAD4,11,HA,2142,15018,29552,2103624,40964,0.104193106844705,0.342938626114478,Endo
TEAD4,14,HA,236,1705,3262,181186,40964,0.132378024260283,0.439498059565138,Endo
TEAD4,15,HA,6859,48020,94114,5504242,40964,0.103100427328118,0.41740183567037,Endo
TEAD4,16,HA,1106,7655,15058,897310,40964,0.0847311338145849,0.409658931206585,Endo
TEAD4,28,HA,900,6497,12650,944074,40964,0.143077506619917,0.327101195054375,Endo
TEAD4,29,YA,1585,11174,21874,1442658,40964,0.111479094502701,0.370136966999419,Endo
TEAD4,30,YA,1272,9309,18174,914812,40964,0.16374477978803,0.484971607186488,Endo
TEAD4,32,HA,328,2539,4932,322474,40964,0.228631406637804,0.373358467950555,Endo
TEAD4,35,HA,6332,44273,86708,6002596,40964,0.101200406425254,0.352628733210554,Endo
TEAD4,37,HA,207,1516,2945,209548,40964,0.1476813854656,0.34308317579249,Endo
TEAD4,39,YA,529,3639,7153,410382,40964,0.0739680592211789,0.425498039989112,Endo
TEAD4,43,YA,684,4560,8949,641290,40964,0.0315373012396627,0.340657286589927,Endo
TEAD4,44,HA,905,6850,13214,865392,40964,0.209436867371858,0.372751216004171,Endo
TEAD4,45,YA,3008,21975,42701,3164364,40964,0.163380465377776,0.329419461742128,Endo
TEAD4,47,YA,175,1358,2620,233616,40964,0.216814614201473,0.273776615442368,Endo
