tf,donor,group,center_n,flank_n,win_n,dtot,n,fp_depth,access,celltype
RELA,28,HA,28179,207157,404005,17105470,33990,0.173836922475995,0.694865202835205,Astro
RELA,29,YA,40624,297402,581723,20637002,33990,0.167874045248175,0.829312982882802,Astro
RELA,30,YA,17577,133522,259195,7043912,33990,0.220940287302536,1.0825838232899,Astro
RELA,32,HA,19928,144294,282072,11389024,33990,0.15190303894689,0.728655596932657,Astro
RELA,35,HA,36141,265448,518679,20312306,33990,0.172566266526587,0.75125654706515,Astro
RELA,37,HA,24745,180097,352640,12730220,33990,0.159361029508905,0.814975398884618,Astro
RELA,39,YA,2731,20373,39962,1625356,33990,0.19309203357338,0.723348444846566,Astro
RELA,43,YA,26610,196200,383775,18331000,33990,0.178074306883748,0.615941346879918,Astro
RELA,44,HA,21647,157933,309045,10532398,33990,0.162837976471422,0.863263333735464,Astro
RELA,45,YA,30729,228220,445268,21467798,33990,0.188559026851646,0.610214917225429,Astro
RELA,47,YA,23642,171342,335921,18296070,33990,0.153249043382175,0.540167159269364,Astro
STAT3,2,YA,16732,163040,311585,6066396,65070,0.579644848979731,0.789341576623813,Astro
STAT3,7,YA,18280,143556,280920,6920238,65070,0.268844583738586,0.623850923178467,Astro
STAT3,11,HA,117329,955112,1858312,52890810,65070,0.321019058780868,0.539955048990893,Astro
STAT3,14,HA,39367,309681,605831,14886814,65070,0.271514139639849,0.625415907279368,Astro
STAT3,15,HA,34867,280608,547033,13376620,65070,0.304362877146285,0.628472572966599,Astro
STAT3,16,HA,59838,498280,967010,23475144,65070,0.353645159992339,0.633055656269806,Astro
STAT3,28,HA,38714,325973,632413,17105470,65070,0.369548987868511,0.568178728348778,Astro
STAT3,29,YA,53863,433870,847467,20637002,65070,0.305722619266033,0.631095935226204,Astro
STAT3,30,YA,21901,225369,429656,7043912,65070,0.658457146771187,0.937402597397747,Astro
STAT3,32,HA,26884,212806,415383,11389024,65070,0.280410112327901,0.560507468471747,Astro
STAT3,35,HA,48743,399117,776299,20312306,65070,0.329342347053751,0.58733920294947,Astro
STAT3,37,HA,32861,276559,535571,12730220,65070,0.368816847284534,0.64654735158746,Astro
STAT3,39,YA,3497,30053,58494,1625356,65070,0.39623594629904,0.553072436748576,Astro
STAT3,43,YA,35821,297926,579152,18331000,65070,0.351791199492292,0.485540651022293,Astro
STAT3,44,HA,29053,231149,452081,10532398,65070,0.28777055680125,0.659641827613002,Astro
STAT3,45,YA,40763,354706,686512,21467798,65070,0.417001041593306,0.491450550705353,Astro
STAT3,47,YA,31850,255964,498944,18296070,65070,0.302295044597614,0.41909568030121,Astro
TEAD1,2,YA,10250,71665,140365,6066396,41242,0.101333693720746,0.561032933131787,Astro
TEAD1,7,YA,10444,71294,140663,6920238,41242,0.0668971131316904,0.492854954581064,Astro
TEAD1,11,HA,70318,478995,943380,52890810,41242,0.0640018827998425,0.432480697513491,Astro
TEAD1,14,HA,22357,154170,302941,14886814,41242,0.0815983699222028,0.49341980186731,Astro
TEAD1,15,HA,20580,138873,272635,13376620,41242,0.0503615251755598,0.49419176085409,Astro
TEAD1,16,HA,35708,248168,487024,23475144,41242,0.0929045796095001,0.503039838285209,Astro
TEAD1,28,HA,23204,162054,318399,17105470,41242,0.0998851057299405,0.451332871828921,Astro
TEAD1,29,YA,31006,216014,425164,20637002,41242,0.0963970940307271,0.499539874195977,Astro
TEAD1,30,YA,12995,92388,180760,7043912,41242,0.125447082320156,0.622226771869229,Astro
TEAD1,32,HA,15334,105750,207797,11389024,41242,0.0816759765517552,0.442397890293099,Astro
TEAD1,35,HA,29623,203032,398671,20312306,41242,0.0728279785966896,0.4758999916006,Astro
TEAD1,37,HA,19850,135644,267378,12730220,41242,0.0684946831498103,0.509272286490944,Astro
TEAD1,39,YA,2059,14948,29127,1625356,41242,0.153727773914511,0.434517767087277,Astro
TEAD1,43,YA,21472,149979,294592,18331000,41242,0.100077273733518,0.389668297057876,Astro
TEAD1,44,HA,16255,115231,225578,10532398,41242,0.121336335866658,0.51931367863477,Astro
TEAD1,45,YA,25294,179868,352366,21467798,41242,0.125908499058031,0.397985068250983,Astro
TEAD1,47,YA,19027,131786,259326,18296070,41242,0.0879229653241798,0.343675465967263,Astro
TEAD4,2,YA,9585,69083,134930,6066396,40964,0.14501907338145,0.542969464299559,Astro
TEAD4,7,YA,9985,70527,137984,6920238,40964,0.115980224195539,0.486749307268273,Astro
TEAD4,11,HA,66380,465178,911310,52890810,40964,0.104899911403456,0.420613841547936,Astro
TEAD4,14,HA,21314,149096,292476,14886814,40964,0.10220959915745,0.479607664522262,Astro
TEAD4,15,HA,19392,135633,264850,13376620,40964,0.102002131860384,0.483338321876335,Astro
TEAD4,16,HA,33832,241831,472166,23475144,40964,0.133406897229606,0.491002935395446,Astro
TEAD4,28,HA,22029,158283,309455,17105470,40964,0.140826432843175,0.441631594148954,Astro
TEAD4,29,YA,28961,209237,409539,20637002,40964,0.148788176059698,0.484447034528889,Astro
TEAD4,30,YA,12155,88817,172785,7043912,40964,0.164873476451627,0.59881098425794,Astro
TEAD4,32,HA,14402,101941,200109,11389024,40964,0.119132054855828,0.428921440710372,Astro
TEAD4,35,HA,28159,198525,387728,20312306,40964,0.11351734196178,0.465978175972623,Astro
TEAD4,37,HA,18813,131599,258118,12730220,40964,0.102169001801285,0.494971307895614,Astro
TEAD4,39,YA,1953,14402,28047,1625356,40964,0.17586447068309,0.421245775207513,Astro
TEAD4,43,YA,20110,145687,284901,18331000,40964,0.152648716090329,0.379407104343662,Astro
TEAD4,44,HA,15117,111900,217640,10532398,40964,0.183597613531015,0.504439513107343,Astro
TEAD4,45,YA,23892,174449,340075,21467798,40964,0.163989507520336,0.38670950704291,Astro
TEAD4,47,YA,18029,129034,252326,18296070,40964,0.135123033071484,0.336667994878386,Astro
CEBPB,2,YA,2220,17951,35570,5236538,8594,0.307554856236199,0.790395131305787,Micro
CEBPB,7,YA,1349,9649,19376,3188248,8594,0.131586744267919,0.707158360932982,Micro
CEBPB,11,HA,5626,47670,92654,18429984,8594,0.377057831878943,0.584983835443606,Micro
CEBPB,14,HA,1689,12019,23751,3978834,8594,0.124866698072009,0.694593524015386,Micro
CEBPB,15,HA,4138,29798,58511,8866712,8594,0.143174051097297,0.767855622923816,Micro
CEBPB,16,HA,2167,16098,31646,6795224,8594,0.186593500691652,0.541900681102914,Micro
CEBPB,28,HA,1405,11054,21837,5067918,8594,0.266551407048562,0.501381200025538,Micro
CEBPB,29,YA,1376,9415,18686,3594340,8594,0.0689494179914665,0.60492542622694,Micro
CEBPB,30,YA,1484,12443,24705,2842424,8594,0.357162165825368,1.0113480639443,Micro
CEBPB,32,HA,1162,8402,16685,3108088,8594,0.146398309362913,0.624651166111421,Micro
CEBPB,35,HA,1688,12934,25150,5255558,8594,0.229869409934824,0.556831514589753,Micro
CEBPB,37,HA,962,7248,14245,3091660,8594,0.203359630343593,0.536136502821088,Micro
CEBPB,39,YA,17,123,245,50506,8594,0.0553182348297414,0.564452967525542,Micro
