"receiver","response","ligand","pearson","z","perm_p","perm_padj","is_candidate","is_frozen_up"
"CA_ExN","binary_padj0.1","FAM3B",0.0196230224586842,NA,0.023488255872064,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","CCL2",0.0195541034515019,NA,0.0224887556221889,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","ANGPT4",0.0194977061332034,NA,0.0229885057471264,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","BMP10",0.019095569946598,NA,0.0209895052473763,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","BMP1",0.0189978314180806,NA,0.0184907546226887,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","PCDHA12",0.0189623836119834,NA,0.0149925037481259,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","BMP8B",0.0189281734325405,NA,0.0209895052473763,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","OCLN",0.0188716220761984,NA,0.024487756121939,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","PTPRK",0.0188209885675176,NA,0.0179910044977511,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","BMP4",0.018820875769812,NA,0.0399800099950025,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","INHBE",0.0186596184006181,NA,0.0209895052473763,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","TDGF1P3",0.0185464131288364,NA,0.0224887556221889,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","CDH15",0.0184314707586745,NA,0.0219890054972514,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","HAS1",0.018191298860147,NA,0.0264867566216892,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","TNFSF9",0.0181594683183752,NA,0.0464767616191904,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","SIGLEC6",0.018118392944803,NA,0.0279860069965017,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","ANGPTL7",0.0180992013916414,NA,0.0309845077461269,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","COL10A1",0.0180547257102333,NA,0.0494752623688156,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","FURIN",0.0180009872069929,NA,0.0454772613693153,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","NMU",0.0179087721744386,NA,0.0524737631184408,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","SEMA6A",0.0178131148085072,NA,0.0284857571214393,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","GDF3",0.0178070655850895,NA,0.0279860069965017,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","ORM1",0.0177658911537625,NA,0.0254872563718141,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","SFRP2",0.0176979954286983,NA,0.031984007996002,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","IGSF3",0.0176723374827353,NA,0.0259870064967516,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","DKK1",0.0175615864736556,NA,0.0304847576211894,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","PCDHA11",0.0174817527964593,NA,0.023488255872064,0.306791048919984,FALSE,FALSE
