"ligand","pearson","z","pct","perm_p","perm_padj","is_aging_up_secretome_ligand","receiver"
"MSTN",0.0545274626108477,NA,0.999184339314845,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"TGFB1",0.0531406306825023,NA,0.99836867862969,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"IHH",0.0478957092216467,NA,0.997553017944535,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"PROK1",0.0451818143575901,NA,0.99673735725938,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"EGF",0.0445174834124124,NA,0.995921696574225,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"INHBA",0.0442551636467525,NA,0.99510603588907,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"IGF2",0.0439708379698365,NA,0.994290375203915,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"LEFTY2",0.0437246008831502,NA,0.99347471451876,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"APOA1",0.0420232933343307,NA,0.992659053833605,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"ENG",0.0418755119613355,NA,0.99184339314845,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"EDA",0.0415673351326801,NA,0.991027732463295,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"STX1A",0.0395805950168024,NA,0.99021207177814,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"IL22",0.0384870065802676,NA,0.989396411092985,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"GDNF",0.0383903215645898,NA,0.98858075040783,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"NOG",0.0378586203534451,NA,0.987765089722675,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"MUC1",0.0375647835121969,NA,0.98694942903752,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"ACE",0.0369638643153497,NA,0.986133768352365,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"TIMP2",0.0368921704126378,NA,0.98531810766721,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"BMP1",0.0368878457997236,NA,0.984502446982055,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"GDF1",0.0364665256595497,NA,0.983686786296901,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"TNF",0.0363932503998844,NA,0.982871125611745,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"SLC6A8",0.0358453397832752,NA,0.982055464926591,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"GDF11",0.035649950687225,NA,0.981239804241436,0.000999500249875062,0.014576045310678,FALSE,"Astro"
