"celltype","arm","n_genes","n_fg_peaks","motif","tf","OR","p","padj","dz","dz_sign_ok","n_targets","verdict","pred_match"
"Astro","DOWN",8,88,"MA1563.1","SOX18",1.16029143897996,0.424686389962813,0.998062915028396,-0.016235865657624,TRUE,3,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0473.3","ELF1",0.498639455782313,0.983167481533845,0.998062915028396,-0.205733553250498,TRUE,4,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0761.2","ETV1",0.35609756097561,0.998062915028396,0.998062915028396,-0.222523719285915,TRUE,3,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0764.2","ETV4",0.864197530864197,0.736041889391488,0.998062915028396,-0.202461483325651,TRUE,6,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0039.4","KLF4",1.32340292438815,0.159914621752944,0.998062915028396,-0.0263859245129547,TRUE,7,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0080.5","SPI1",0.967984477322338,0.595613262938507,0.998062915028396,-0.103463743400128,TRUE,8,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0051.1","IRF2",1.11149825783972,0.448735841100973,1,0.152039085386697,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0101.1","REL",1.09917355371901,0.486530851486274,1,0.159873942497655,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0107.1","RELA",1.17934782608696,0.400316956454922,1,0.109286662279595,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0478.1","FOSL2",1.01424050632911,0.547531559014039,1,0.737318559027149,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0157.2","FOXO3",1.26470588235294,0.417384945512208,1,0.0107023317334393,TRUE,4,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0652.1","IRF8",1.02714932126697,0.562055733565694,1,0.0999346524892656,TRUE,3,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0105.4","NFKB1",1.03761755485893,0.536493090568102,1,0.0369931416410176,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0778.1","NFKB2",1.05741626794258,0.520033410828764,1,0.0385163041523488,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0808.1","TEAD3",0.661418932733592,0.861301550261751,1,0.206430650834219,TRUE,5,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0848.1","FOXO4",1.28125,0.326354509538838,1,0.0495869299985648,TRUE,7,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA1418.1","IRF3",0.850117096018735,0.732554932813648,1,0.0990577327018318,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA1515.1","KLF2",0.602716468590832,0.95058007769302,1,0.0477291242836028,TRUE,8,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0079.4","SP1",0.944700460829493,0.619248815876805,1,0.0570710104964125,TRUE,9,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA1634.1","BATF",1.07412491420728,0.478499886042616,1,0.685002997551451,TRUE,7,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0090.3","TEAD1",0.72605459057072,0.832176732484422,1,0.186789088269854,TRUE,6,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0809.2","TEAD4",0.550156195765359,0.936432254632415,1,0.225142157954191,TRUE,5,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA0513.1","SMAD2::SMAD3::SMAD4",1.06477732793522,0.526489499904311,1,-0.0458395272569144,TRUE,4,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA0144.2","STAT3",1.41641641641642,0.329941461648592,1,-0.265560169322502,TRUE,3,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA0599.1","KLF5",1.29813664596273,0.315409744283806,1,-0.123201021998725,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA1117.1","RELB",1.27586206896552,0.453965827943336,1,-0.138896675211362,TRUE,3,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA1515.1","KLF2",1.17391304347826,0.419817816091563,1,-0.105867086395987,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA0079.4","SP1",1.2919298245614,0.357678330432386,1,-0.0501008399198599,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA0039.4","KLF4",1.22222222222222,0.370511810728566,1,-0.131697427578516,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA0080.5","SPI1",1.07017543859649,0.510993246032908,1,-0.0277213643397567,TRUE,4,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA0090.3","TEAD1",2.23076923076923,0.0924563693369477,1,-0.271600634292145,TRUE,4,"SUGGESTIVE",FALSE
"OPC","DOWN",4,19,"MA0144.2","STAT3",1.42222222222222,0.373467055806327,1,-0.041171060693282,TRUE,3,"SUGGESTIVE",FALSE
"OPC","DOWN",4,19,"MA0599.1","KLF5",0.887573964497042,0.679225932500571,1,-0.0516841992015374,TRUE,4,"SUGGESTIVE",TRUE
"OPC","DOWN",4,19,"MA0105.4","NFKB1",3.41269841269841,0.0419117662571413,1,-0.00655988116063677,TRUE,3,"SUGGESTIVE",FALSE
"OPC","DOWN",4,19,"MA0778.1","NFKB2",2.72727272727273,0.0786599193534924,1,-0.0300529854835088,TRUE,3,"SUGGESTIVE",FALSE
"OPC","DOWN",4,19,"MA1515.1","KLF2",1.36538461538462,0.360665840262996,1,-0.0226431142812608,TRUE,4,"SUGGESTIVE",TRUE
"OPC","DOWN",4,19,"MA0079.4","SP1",0.859259259259259,0.694644634836166,1,-0.134800380382063,TRUE,3,"SUGGESTIVE",TRUE
"OPC","DOWN",4,19,"MA0039.4","KLF4",1.33514246947083,0.360079157588773,1,-0.0419510868616987,TRUE,4,"SUGGESTIVE",TRUE
