label,strata,fg_testable,fg_concordant,fg_rate,fg_ci_lo,fg_ci_hi,matched_bg_rate,risk_diff,mh_or,mh_or_lo,mh_or_hi,perm_p_onesided_greater,n_perm,seed,n_unmatched_fg,n_repl_strata
"ADvHA_projection|PRIMARY_matched(ct,sign,expr)",celltype;cv_sign;expr_bin,23,14.0,0.6086956521739131,0.4078517960374599,0.7784262201761787,0.5385772812824786,0.07011837089143447,1.4883679597321877,0.5899637061483759,3.754873665059359,0.3160683931606839,10000,42,0,0
ADvHA_projection|SENS_absdz_matched,celltype;cv_sign;expr_bin;absdz_bin,20,13.0,0.65,0.43285051021946463,0.8188104521320554,0.5350967408892269,0.11490325911077315,1.8002908898735943,0.6295260676670112,5.14839250449628,0.1932806719328067,10000,42,3,0
ADvHA_projection|SENS_family_matched,celltype;cv_sign;family,23,14.0,0.6086956521739131,0.4078517960374599,0.7784262201761787,0.3512900143334926,0.2574056378404205,1.548069154952335,0.47984140716137896,4.994396216641734,9.999000099990002e-05,10000,42,0,2
ADvHA_projection|SENS_pooled_Fisher,none(pooled),23,14.0,0.6086956521739131,0.4078517960374599,0.7784262201761787,0.536036036036036,0.07265961613787708,1.34640522875817,,,0.31614105348583826,0,42,0,0
ADvHA_projection|SENS_binomial_vs0.5_REFERENCE_ONLY,none,23,14.0,0.6086956521739131,0.4078517960374599,0.7784262201761787,0.5,0.10869565217391308,,,,0.2024364471435547,0,42,0,0
ADvHA_projection|SENS_spearman_lfc_vs_dz_fg,continuous,23,,-0.03063241106719368,,,,,,,,0.8896497392010411,0,42,0,0
ADvHA_projection|SENS_spearman_lfc_vs_dz_bg,continuous,1776,,0.04781156181996001,,,,,,,,0.04394261417360251,0,42,0,0
