motif,mapped_gene,family,celltype,dz,cv_p,cv_padj,is_foreground
FOXF2,FOXF2,FOX,Astro,-0.0042358855177602,0.968877610374054,0.995976016570843,False
FOXD1,FOXD1,FOX,Astro,-0.0275435030716207,0.814092463585285,0.979336604887158,False
IRF2,IRF2,IRF,Astro,0.113150579656165,0.235560550406519,0.979336604887158,False
MZF1(var.2),MZF1,other,Astro,-0.0734138013144668,0.545826781865611,0.979336604887158,False
MAX::MYC,MAX,bHLH-other,Astro,0.0119268163902851,0.888184714152716,0.988541523911787,False
MAX::MYC,MYC,bHLH-other,Astro,0.0119268163902851,0.888184714152716,0.988541523911787,False
PPARG,PPARG,NR,Astro,-0.0315087618690102,0.770676279925447,0.979336604887158,False
PAX6,PAX6,homeobox-other,Astro,0.055350224161958,0.479897321019137,0.979336604887158,False
PBX1,PBX1,homeobox-other,Astro,-0.0771031335053209,0.474029487685008,0.979336604887158,False
RORA,RORA,NR,Astro,-0.113046501063448,0.374177675873368,0.979336604887158,False
RORA(var.2),RORA,NR,Astro,-0.123008823521668,0.445965022260934,0.979336604887158,False
RREB1,RREB1,other,Astro,-0.128520121080301,0.411234287430255,0.979336604887158,False
RXRA::VDR,RXRA,NR,Astro,-0.0105639691481328,0.88338022383376,0.988541523911787,False
RXRA::VDR,VDR,NR,Astro,-0.0105639691481328,0.88338022383376,0.988541523911787,False
SOX9,SOX9,SOX,Astro,-0.0838224410287192,0.610409522916465,0.979336604887158,False
SRY,SRY,other,Astro,0.0172309618098183,0.874947168981313,0.988541523911787,False
TAL1::TCF3,TAL1,other,Astro,-0.229065853158349,0.20756841496949,0.979336604887158,False
TAL1::TCF3,TCF3,bHLH-neural,Astro,-0.229065853158349,0.20756841496949,0.979336604887158,False
REL,REL,NFKB-REL,Astro,0.121610656783583,0.157354990730164,0.979336604887158,False
RELA,RELA,NFKB-REL,Astro,0.064200476690935,0.469003013253244,0.979336604887158,False
NR1H2::RXRA,NR1H2,NR,Astro,-0.0145188661136213,0.859266033823747,0.988541523911787,False
NR1H2::RXRA,RXRA,NR,Astro,-0.0145188661136213,0.859266033823747,0.988541523911787,False
NFIC::TLX1,NFIC,other,Astro,0.153653884503252,0.285479216250439,0.979336604887158,False
NFIC::TLX1,TLX1,other,Astro,0.153653884503252,0.285479216250439,0.979336604887158,False
ZNF354C,ZNF354C,ZNF-KRAB,Astro,-0.107883929231474,0.589593333376664,0.979336604887158,False
CTCF,CTCF,CTCF,Astro,-0.197675504286317,0.60361664188586,0.979336604887158,False
