metric,observed,n_perm,null_mean,null_sd,p_donorlabel_perm
mean_signed,0.7840254162852679,100,0.04002395962984808,0.15115934883175244,0.009900990099009901
hit_concord,0.8125,100,0.5285416666666667,0.11758031386390043,0.0297029702970297
rho_pooled,0.23964914093279946,100,0.008807923360931098,0.07074080620450135,0.009900990099009901
rho_strat,0.24863398126192313,100,0.010686150130245698,0.06999192093760512,0.009900990099009901
