celltype	n_donors	n_YA	n_HA	n_nuclei	n_genes_before_filter	n_genes	sha256_16
Astro	17	8	9	11150	36591	23366	c48202e8f7b46fb4
Micro	16	7	9	4725	36591	17628	a71aba859cb47265
Oligo	17	8	9	23200	36591	22844	307478e9064ab93c
OPC	17	8	9	5981	36591	20577	50f4ee247c53d6db
Endo	16	7	9	873	36591	15128	8a419a8771f9d192
