Group,Astro,CA_ExN,DG_GC,Endo,Ependymal,Immature,InN,Micro,NSC,Neuroblast,OPC,Oligo
YA,0.16355829110366155,0.0930721700966251,0.11859713866118902,0.013386377332281917,0.00785543746398614,0.005744307777197645,0.0817240440199435,0.03276894107547974,0.006776264319340459,0.02354859180898142,0.11504693996456615,0.33792149637674734
HA,0.17638640792835852,0.08891237786903797,0.15806960092303748,0.013531518542010982,0.009453281522115782,0.0055709880226671145,0.052241976495565216,0.08443399929614484,0.0019836558200260496,0.01760038521581457,0.0747575740422031,0.3170582343230184
SA,0.12649783549469173,0.09716455461282304,0.12585467910443646,0.012454543422669757,0.009831167543418827,0.033466541773112916,0.06032318290825606,0.08562678280662141,0.008062640414498565,0.01027583587933907,0.07269421065881852,0.3577480253813137
MCI,0.18241127573249719,0.09359591363133885,0.09193859417309191,0.00619844742600886,0.019059075916608714,0.006095503446531476,0.05326182572179167,0.07269908971101853,0.014923569277409315,0.0055894070225878415,0.09456496035904675,0.3596623375820689
AD,0.15357665385889094,0.050544178257572125,0.06027620924423501,0.007739055741517909,0.01723098772378085,0.0003752743023463246,0.0165724029269514,0.09733458866642805,0.005937179292593834,0.0016928174046663008,0.09296795694436955,0.4957526956366477
