gene	celltype	frozen_direction	frozen_log2FC	baseMean	betaConv	HA_YA_LFC_coef	AD_HA_LFC_coef	AD_YA_LFC_coef	coefficient_identity_error	HA_YA_LFC_raw	AD_HA_LFC_raw	AD_YA_LFC_raw	results_identity_error	HA_YA_LFC_ashr	AD_HA_LFC_ashr	AD_YA_LFC_ashr	A_raw	D_raw	T_raw_sum	T_raw_direct	raw_identity_error	A	D	T_class	T_direct_shrunk	T_discrepancy	delta_final	category_margin_D_minus_delta	aging_projection_status	trajectory_category	trajectory_subflag	trajectory_category_rawLFC	pvalue_HA_YA	padj_HA_YA	pvalue_AD_HA	padj_AD_HA	pvalue_AD_YA	padj_AD_YA
FAP	Astro	UP	2.62820978845488	106.7130568476	True	2.50472158148325	-0.108591651339831	2.39612993014341	0.0	2.50472158148325	-0.108591651339831	2.39612993014341	0.0	1.90628954384872	-0.0292676599564988	1.92201332183081	2.50472158148325	-0.108591651339831	2.396129930143419	2.39612993014341	-8.881784197001252e-15	1.90628954384872	-0.0292676599564988	1.8770218838922212	1.92201332183081	0.04499143793858873	0.95314477192436	-0.9824124318808588	eligible	maintained		maintained	4.330784725637441e-09	2.68407601345923e-05	0.791379615191303	0.907502153526919	4.22051466599883e-08	1.4806043242437e-05
HMCN2	Astro	DOWN	-2.63012103565266	7.02858739340484	True	-2.61876650403251	0.375944592011057	-2.24282191202145	0.0	-2.61876650403251	0.375944592011057	-2.24282191202145	0.0	-2.00299481610674	0.0861657489192675	-1.70485063199871	2.61876650403251	-0.375944592011057	2.2428219120214528	2.24282191202145	-2.6645352591003757e-15	2.00299481610674	-0.0861657489192675	1.9168290671874726	1.70485063199871	-0.21197843518876258	1.00149740805337	-1.0876631569726376	eligible	maintained		maintained	9.01189401368022e-10	8.37790726981781e-06	0.44202279409467	0.693490207586572	1.33033228883876e-06	0.0001606082063338
WNT5B	Astro	DOWN	-1.55348595832513	35.3535431090847	True	-1.51060104645746	0.379389331301777	-1.13121171515569	0.0	-1.51060104645746	0.379389331301777	-1.13121171515569	0.0	-1.3784002934091	0.18795062965659	-0.941897360764089	1.51060104645746	-0.379389331301777	1.131211715155683	1.13121171515569	6.8833827526759706e-15	1.3784002934091	-0.18795062965659	1.19044966375251	0.941897360764089	-0.2485523029884209	0.68920014670455	-0.87715077636114	eligible	maintained		maintained	2.9466334025e-11	5.47867548526825e-07	0.118507380732088	0.348412855333942	4.1468733754451e-06	0.000370686618604
COL21A1	Astro	UP	1.90974238288599	387.1763940661	True	1.85903641412609	-0.107298465537521	1.75173794858857	0.0	1.85903641412609	-0.107298465537521	1.75173794858857	0.0	1.43910108672554	-0.0312594214280006	1.34627524898558	1.85903641412609	-0.107298465537521	1.751737948588569	1.75173794858857	1.1102230246251565e-15	1.43910108672554	-0.0312594214280006	1.4078416652975394	1.34627524898558	-0.06156641631195936	0.71955054336277	-0.7508099647907707	eligible	maintained		maintained	1.32905228761028e-06	0.0027456743537264	0.778746562832221	0.90078373047575	8.69084030741042e-06	0.000638690884726
TNC	Astro	UP	1.35422124338215	775.033411446726	True	1.31786171242413	-0.311477608630974	1.00638410379316	0.0	1.31786171242413	-0.311477608630974	1.00638410379316	0.0	0.72083073664499	-0.0990696010756702	0.527404278864219	1.31786171242413	-0.311477608630974	1.006384103793156	1.00638410379316	3.9968028886505635e-15	0.72083073664499	-0.0990696010756702	0.6217611355693198	0.527404278864219	-0.09435685670510074	0.360415368322495	-0.4594849693981652	eligible	maintained		maintained	0.0002999239157168	0.0453528255818848	0.392868563530116	0.653901067913356	0.0070568912118966	0.061141089609876
ECM2	Astro	UP	1.7786725833895	46.1032455244916	True	1.76231768588282	-0.310995483434915	1.45132220244791	0.0	1.76231768588282	-0.310995483434915	1.45132220244791	0.0	1.30539113806919	-0.094859435782808	0.934666440431523	1.76231768588282	-0.310995483434915	1.4513222024479049	1.45132220244791	5.10702591327572e-15	1.30539113806919	-0.094859435782808	1.210531702286382	0.934666440431523	-0.27586526185485893	0.652695569034595	-0.747555004817403	eligible	maintained		maintained	7.44394813176173e-06	0.0081414898596379	0.411357383238306	0.668293853023747	0.0003769913819807	0.0086322669521782
CCN2	Astro	UP	2.30647552143923	6.67658967658305	True	2.33170507494696	-1.41938892068172	0.912316154265236	0.0	2.33170507494696	-1.41938892068172	0.912316154265236	0.0	1.48781646352319	-0.618881360267256	0.228839811000485	2.33170507494696	-1.41938892068172	0.91231615426524	0.912316154265236	-3.9968028886505635e-15	1.48781646352319	-0.618881360267256	0.868935103255934	0.228839811000485	-0.640095292255449	0.743908231761595	-1.362789592028851	eligible	maintained		AD_attenuated	5.17337861276723e-06	0.0060117892841988	0.0021223719579019	0.0341771811991973	0.118675280667048	0.337958262129335
SEMA3D	Astro	UP	1.80477567380751	76.2979214824496	True	1.78747876082948	0.636496906543897	2.42397566737338	0.0	1.78747876082948	0.636496906543897	2.42397566737338	4.44089209850063e-16	1.20017419243977	0.202614840598863	1.95516429186247	1.78747876082948	0.636496906543897	2.423975667373377	2.42397566737338	3.1086244689504383e-15	1.20017419243977	0.202614840598863	1.402789033038633	1.95516429186247	0.5523752588238371	0.600087096219885	-0.39747225562102195	eligible	maintained		maintained	2.51657188228409e-05	0.0148275020013166	0.117822110792072	0.347157552093192	2.37927269936054e-08	1.02878644881885e-05
ANXA1	Astro	UP	2.5740433697759	36.4932097268082	True	2.57447402700972	0.576689676449736	3.15116370345946	0.0	2.57447402700972	0.576689676449736	3.15116370345946	0.0	0.309643334451552	0.074933647069526	1.37285321293249	2.57447402700972	0.576689676449736	3.1511637034594564	3.15116370345946	3.552713678800501e-15	0.309643334451552	0.074933647069526	0.384576981521078	1.37285321293249	0.988276231411412	0.25	-0.175066352930474	eligible	maintained		maintained	0.0011202172095977	0.0860669362729391	0.445959724367375	0.696396137022715	9.76697090013165e-05	0.0033629127767805
COL12A1	Astro	UP	1.45394278066037	19.7863077320276	True	1.43966690394435	-0.0437711792884907	1.39589572465586	0.0	1.43966690394435	-0.0437711792884908	1.39589572465586	0.0	0.5421414258455	-0.0118314375239307	0.736989891119794	1.43966690394435	-0.0437711792884908	1.3958957246558592	1.39589572465586	8.881784197001252e-16	0.5421414258455	-0.0118314375239307	0.5303099883215693	0.736989891119794	0.20667990279822468	0.27107071292275	-0.28290215044668066	eligible	maintained		maintained	0.0008412772433885	0.0761704145236287	0.914574218407501	0.963286508150513	0.0020917083981545	0.0272728851661204
