layer	min	max	nonint_frac	neg_frac	lib_min	lib_med	lib_max	dtype
X	1.0	2807.0	0.0	0.0	441.0	10136.5	100961.0	int64
counts	1.0	2807.0	0.0	0.0	441.0	10136.5	100961.0	int64
