subtype	est	se	df	p
DiffN	-0.118405875310544	0.242485967846421	6	0.642668926551543
MatN_SGCZ_CHRM3	-0.128932676458643	0.0802869990345111	6	0.1594195079992
MatN_SGCZ_NTF3	-0.0817706110005662	0.0979529035835439	6	0.435804528836557
