test	estimate	SE	df	t	p	ci_lo	ci_hi
primary_stage_averaged_SAD_minus_RES	-0.0696093174366159	0.108329331708764	6	-0.642571280913612	0.544259055153127	-0.334681643021404	0.195463008148172
SAD_minus_RES_immature	-0.0587515411728025	0.125230479849787	6	-0.469147297393369	0.655526848709422	-0.365179486441818	0.247676404096213
SAD_minus_RES_mature	-0.0804670937004293	0.125230479849787	6	-0.642551987319292	0.544270755021516	-0.386895038969445	0.225960851568586
interaction_group_x_stage	0.0108577762638134	0.0628285681433263	11	0.172815911370833	0.865934911331351	NA	NA
fallback_donoronly_SAD_minus_RES	-0.0696093174326525	0.108329294476253	11	-0.642571501727184	0.533666164939944	NA	NA
