variant	est	se	df	p
drop_ECM_GF_specific	0.0498434481900919	0.113025991668476	6	0.674665493352348
ligand_balanced	-0.243484711937459	0.166098631533626	6	0.193030343812793
primary	-0.0696093174366159	0.108329331708764	6	0.544259055153127
three_stage	-0.05875154117697	0.113066993892191	6	0.621935136794382
raw_pooled_mature	-0.0733174204048914	0.104604114451563	6	0.509617946527751
LOO_receptor_min	-0.0958892740753975	NA	NA	0.643065813423511
LOO_receptor_max	-0.0514847345628024	NA	NA	0.421646445638181
