topN	n	NES	pval	padj
20	114	-1.2337901596845	0.118093174431203	0.118093174431203
50	228	-1.17113174987191	0.137895812053115	0.137895812053115
100	408	-0.856756278933209	0.873620862587763	0.873620862587763
