ligand	n_targets_detectable	median_diff_SADminusRES	p	padj_BH
UNION	228	-0.02070941814269589	0.43782627744783786	
CCN2	29	-0.19710330318620772	0.2681915064153546	0.8936892741765974
TNC	26	-0.15518367005133177	0.2840528824075682	0.8936892741765974
KITLG	26	0.15731830872883298	0.42868672074074443	0.8936892741765974
EFEMP1	24	0.2215381626545608	0.4626760493965322	0.8936892741765974
APOD	32	-0.16763099046186042	0.4659048826575767	0.8936892741765974
SPON1	32	0.06616024934270573	0.5024427399529018	0.8936892741765974
COL21A1	30	-0.06463503314714997	0.543500995666922	0.8936892741765974
LGALS9	29	0.02022621963030491	0.5843885851750261	0.8936892741765974
APOE	34	0.1522348456539454	0.6175746950777573	0.8936892741765974
IL15	28	0.08429389543761018	0.6316495123547972	0.8936892741765974
DKK2	26	0.028273861078534024	0.6510744408509006	0.8936892741765974
COL8A1	32	-0.014526696963697239	0.6859553894100028	0.8936892741765974
SERPINE1	31	0.23382692775152963	0.6862576586843987	0.8936892741765974
SEMA3D	33	0.02022621963030491	0.6954429045730649	0.8936892741765974
AZGP1	31	-0.0800113104126533	0.7141727557550155	0.8936892741765974
CXCL2	28	-0.0773947827056955	0.7625282728348457	0.8936892741765974
APOC1	30	-0.06463503314714997	0.8088255996424862	0.8936892741765974
FAP	32	0.015132736468331132	0.8442077303441996	0.8936892741765974
ANXA1	31	0.05928317481292111	0.8456773714869459	0.8936892741765974
COL12A1	28	0.11574238790051819	0.8509341788097906	0.8936892741765974
COL4A2	23	-0.04922211868184173	0.8746988473624198	0.8936892741765974
CYTL1	28	-0.08093472696170723	0.8936892741765974	0.8936892741765974
