variant	est	se	df	p
drop_family_apolipoprotein	-0.0629481482607657	0.121154660244585	6	0.62196699675229
drop_family_collagen	-0.0567684676263736	0.101106690094141	6	0.594810491218312
drop_family_cytokine	-0.0504901570766317	0.111514102772577	6	0.66662588148443
drop_family_matricellular	0.00582944811617976	0.11358209739008	6	0.960733622462384
drop_family_other_growth	-0.278670922081605	0.140556696731432	6	0.0946791150271606
