ligand	n_targets_detectable	median_diff_SADminusRES	p	padj_BH
UNION	408	0.03769785930398267	0.35001102169627063	
TNC	58	-0.33248578836870263	0.04061185265568791	0.8680348459433315
SPON1	72	0.3489326745875864	0.0885851961917264	0.8680348459433315
COL12A1	61	-0.08012071932432213	0.22210959423217835	0.8680348459433315
COL4A2	56	-0.13251950267864043	0.36396195328456904	0.8680348459433315
CCN2	59	-0.14246081065403493	0.37529444236301057	0.8680348459433315
COL8A1	64	-0.1551240317067355	0.39842712589645246	0.8680348459433315
APOC1	62	-0.014526696963697239	0.4756506188681876	0.8680348459433315
AZGP1	63	-0.08645822833862266	0.47931375787179253	0.8680348459433315
COL21A1	66	-0.06149498989585683	0.5382570119357383	0.8680348459433315
SEMA3D	69	-0.08012071932432213	0.5694228397864052	0.8680348459433315
EFEMP1	63	0.11212402620074874	0.6191557525031374	0.8680348459433315
ANXA1	63	-0.04922211868184173	0.6199804440930772	0.8680348459433315
LGALS9	55	0.02022621963030491	0.6412729704541262	0.8680348459433315
CYTL1	62	-0.01795776455096898	0.6578737855133747	0.8680348459433315
KITLG	61	-0.013611896461281414	0.6974935505131374	0.8680348459433315
SERPINE1	67	-0.07663362306068155	0.703752640319788	0.8680348459433315
DKK2	60	-0.003800788934929078	0.7213853051221095	0.8680348459433315
IL15	69	-0.13431278875952252	0.7580430099613319	0.8680348459433315
CXCL2	59	0.02754372283285711	0.760619339600191	0.8680348459433315
APOD	66	0.12023712930270963	0.8219538408193819	0.8680348459433315
APOE	65	0.02022621963030491	0.828578716582271	0.8680348459433315
FAP	67	0.02032083478326341	0.9629746260340915	0.9629746260340915
