dropped_Run	est	se	df	p	note
Run1	-0.0603023281878201	0.117390300473827	6	0.62583040794267	RES+SAD both remain; n_donor=12
Run2	-0.131657699086953	0.115150559651199	5	0.304663942177684	RES+SAD both remain; n_donor=11
Run3	-0.102077093284945	0.111471663028552	6	0.395125344138577	RES+SAD both remain; n_donor=12
Run4	-0.0744695499162478	0.130134221592399	5	0.591919148136478	RES+SAD both remain; n_donor=11
Run5	0.0805597906117653	0.107499463007416	2	0.531772724503584	RES+SAD both remain; n_donor=8
Run6	-0.090761976814094	0.1231729449627	5	0.494304618450397	RES+SAD both remain; n_donor=11
