target,n,frac_heterotypic_doublet,pred_Astro_x_Oligo,pred_Neuron_x_Oligo,pred_Astro_x_Astro,pred_Oligo_x_Oligo,pred_Astro,pred_Oligo,pred_DG_GC,pred_Micro,pred_OPC
NSC,877,0.5815279361459521,0.5815279361459521,0.0,0.0661345496009122,0.06043329532497149,0.20980615735461802,0.08209806157354618,0.0,0.0,0.0
Neuroblast,1309,0.03666921313980138,0.0106951871657754,0.025974025974025976,0.0,0.13674560733384264,0.006111535523300229,0.6982429335370511,0.04889228418640183,0.07104660045836517,0.002291825821237586
Immature,1366,0.08638360175695461,0.0,0.08638360175695461,0.0,0.0,0.0007320644216691069,0.0,0.9106881405563689,0.0021961932650073207,0.0
Endo,1590,0.19874213836477989,0.1968553459119497,0.0018867924528301887,0.4679245283018868,0.013207547169811321,0.19119496855345913,0.011949685534591196,0.00440251572327044,0.10377358490566038,0.00880503144654088
Ependymal,2097,0.4401525989508822,0.424415832141154,0.015736766809728183,0.2761087267525036,0.0033381020505484026,0.24225083452551263,0.00715307582260372,0.005722460658082976,0.015259895088221268,0.010014306151645207
Astro,4000,0.0105,0.0105,0.0,0.219,0.00025,0.76575,0.0005,0.0,0.00325,0.00075
