receptor
ACKR1
APP
CCR2
CD44
CD47
CD93
CNTN1
CXCR1
CXCR2
DDR1
DDR2
DPP4
DYSF
EGFR
EPOR
ERBB4
F12
FGFR2
FPR1
FPR2
FPR3
HAVCR2
IGF2R
IL15RA
IL2RA
IL2RB
IL2RG
ITGA1
ITGA10
ITGA11
ITGA2
ITGA5
ITGA7
ITGA8
ITGA9
ITGAM
ITGAV
ITGB1
ITGB2
ITGB3
ITGB5
ITGB6
KIT
KREMEN1
KREMEN2
LDLR
LEPR
LRP1
LRP2
LRP5
LRP6
LRP8
LRRN3
MRC2
NPR2
NRP1
NRP2
NTRK1
PLAT
PLAU
PLAUR
PLXNA1
PLXNA2
PLXNA3
PLXNA4
PLXND1
PTPRB
PTPRC
PTPRZ1
SCARB1
SDC1
SLC1A5
SORL1
TREM2
VLDLR
XCR1
