model,gene,frozen_lfc,log2FoldChange,lfcSE,baseMean,pvalue,padj
full_bucket,PRSS3,-2.5640517021464504,-2.5640546789693714,0.461358184807984,7.7619944924617155,2.734738749202435e-08,0.00015471784473612777
full_bucket,APOD,3.249502109979514,3.2495020964480577,0.6417994001531616,100.42809034816477,4.1246786521003905e-07,0.001166768473712898
full_bucket,PLAT,-1.812252354302444,-1.8122479021315185,0.36463864883424196,28.921052297015898,6.695875673356444e-07,0.0015152766648805634
full_bucket,KDR,-1.3610607713674383,-1.3610693363868884,0.3196554893820577,26.75852120114405,2.0633245974943414e-05,0.01945543151720706
full_bucket,LAMA4,-1.0804878720275344,-1.0804956358832027,0.2727744570344006,59.26188519594386,7.459527282475573e-05,0.04964973600071242
full_bucket,KITLG,-1.779164578823372,-1.7791676896163056,0.45954885301413084,40.18818331835438,0.00010814418544348799,0.06440270833121403
full_bucket,EFEMP1,2.821709541393209,2.821709787502233,0.7335900842100206,8.090866216943843,0.00011984676564655313,0.06780330766453743
full_bucket,DKK2,4.449372714745588,4.44937237018896,1.1682063640672196,3.628174234157049,0.00013968733911265838,0.07526486866951095
full_bucket,MMP28,-1.667261039633398,-1.6672545251181794,0.4418214920592099,7.244103296913396,0.00016091314413385757,0.07586384274477492
full_bucket,APP,-0.618694110636891,-0.6186899350792469,0.16638007259405257,182.68158211177752,0.00020038242851528357,0.0809759706660869
full_bucket,EDN3,-1.7988895325751288,-1.7988915081868968,0.48536200930629886,11.126516235830882,0.00021031892774100972,0.08206064370308706
endo_only,PRSS3,-2.5640517021464504,-2.2117871843227497,0.5725354524996943,8.572358997050808,0.0001119367483178551,0.05446966547311627
endo_only,APOD,3.249502109979514,3.5503833969443943,0.7369289345966521,96.71132245000162,1.4514267225028942e-06,0.0031782616656007125
endo_only,PLAT,-1.812252354302444,-1.838538379173548,0.3566005928224277,32.203861814419646,2.526371378400378e-07,0.0007408952125651191
endo_only,KDR,-1.3610607713674383,-1.380492576085356,0.3714611369863464,26.64476739660854,0.00020209360783418704,0.06368651327058449
endo_only,LAMA4,-1.0804878720275344,-0.6391380414762675,0.37110833881854205,52.32444273215493,0.085025848636541,0.8111204636364329
endo_only,KITLG,-1.779164578823372,-1.3367796503462588,0.5792023324675781,28.312238333053674,0.02100099306191221,0.6058022299120458
endo_only,EFEMP1,2.821709541393209,2.572030997567626,0.8055345423819285,9.231590152268511,0.0014082764336728168,0.18689535276576066
endo_only,DKK2,4.449372714745588,4.592533064859576,1.1613409803959767,5.1254179204646935,7.66920663404688e-05,0.044783053938411074
endo_only,MMP28,-1.667261039633398,-1.5821899894688858,0.43342579337917486,7.756190599695275,0.0002618028984770686,0.07166036211752012
endo_only,APP,-0.618694110636891,-0.5610545660603382,0.20036697350756136,183.38507582090293,0.00510812462749892,0.3637566147338459
endo_only,EDN3,-1.7988895325751288,-1.5310469242006024,0.44280436057367006,10.874897607294269,0.0005449799326185021,0.11407045517132038
nonEndo_adjusted,PRSS3,-2.5640517021464504,-2.6214717636062934,0.4436506187523861,7.7619944924617155,3.444721404321957e-09,1.8983859659218307e-05
nonEndo_adjusted,APOD,3.249502109979514,3.1916872537704846,0.6928093535898764,100.42809034816477,4.087622560576991e-06,0.00450537758626796
nonEndo_adjusted,PLAT,-1.812252354302444,-1.6755512481378092,0.3313641074441847,28.921052297015898,4.2696252591423184e-07,0.0006943881545319185
nonEndo_adjusted,KDR,-1.3610607713674383,-1.3590192955887381,0.32666827685636185,26.75852120114405,3.1790966505293305e-05,0.020611766636549577
nonEndo_adjusted,LAMA4,-1.0804878720275344,-1.1077545249015746,0.274685569910984,59.26188519594386,5.511400005982061e-05,0.02892697660282585
nonEndo_adjusted,KITLG,-1.779164578823372,-1.7207328925765826,0.48757491191118246,40.18818331835438,0.00041687125696867504,0.08314689649133007
nonEndo_adjusted,EFEMP1,2.821709541393209,2.8309374715399462,0.7795248686555885,8.090866216943843,0.00028164852351011006,0.06604957502400921
nonEndo_adjusted,DKK2,4.449372714745588,4.438306269904824,1.1944569294372116,3.628174234157049,0.00020259986164453684,0.05446477256209963
nonEndo_adjusted,MMP28,-1.667261039633398,-1.6624752045579578,0.4390861097912313,7.244103296913396,0.00015295823793208703,0.04932964629641196
nonEndo_adjusted,APP,-0.618694110636891,-0.5912731622785481,0.14480288304911912,182.68158211177752,4.4401237488701804e-05,0.025757391557919538
nonEndo_adjusted,EDN3,-1.7988895325751288,-1.815613849818493,0.5063530940190257,11.126516235830882,0.0003362170756825822,0.07411569216346842
