resolution,subcluster,n,n_donors,assigned,top_score,positive_evidence,unstable,frac_YA,Endo,Pericyte,SMC,VLMC,Ependymal,aEndo,mean_CLDN5,mean_FLT1,mean_PECAM1
0.3,0,97,14,Endo,0.42547330604386085,True,False,0.27835051546391754,0.42547330604386085,0.04778478626131657,-0.0022004066218215567,-0.1980013048169539,0.025496342738264614,-0.05283282225125843,1.534112572669983,2.2770111560821533,0.8668842911720276
0.3,1,20,2,Ependymal,1.4427108055353164,True,True,0.0,0.4009267533620199,0.03302445757042376,-0.07049496949712435,-0.2047326201915741,1.4427108055353164,-0.0743706119582057,1.7318952083587646,2.675136089324951,0.8285527229309082
0.3,2,253,15,Endo,1.3854983042414166,True,False,0.383399209486166,1.3854983042414166,-0.2369482788159459,-0.08454285904863293,-0.2919971029004561,0.015615598561735491,-0.017327973248537663,2.284449815750122,3.6885664463043213,1.7270245552062988
0.3,3,12,3,Endo,0.5130925258000691,True,True,0.0,0.5130925258000691,-0.46001413844575817,-0.06300243367751439,-0.287510901927948,-0.08647753318150837,0.48381924536493087,1.2555365562438965,2.3307344913482666,1.827086091041565
0.3,4,172,12,Endo,0.9598831070116324,True,False,0.23255813953488372,0.9598831070116324,0.698107239078529,0.33068369456732916,0.26534700967267505,-0.06823075590871794,0.024859324725734634,2.4316506385803223,3.006014347076416,1.4632648229599
0.3,5,10,6,VLMC,0.37170281324386595,True,True,0.8,-0.5909394280910492,-0.31744049540835473,-0.014558831175168357,0.37170281324386595,-0.0722878131866455,0.1696310742298762,0.19892175495624542,0.42691317200660706,0.19892175495624542
0.3,6,71,13,Endo,0.3377749961754526,True,False,0.323943661971831,0.3377749961754526,0.14499482674928033,-0.03419959492106953,-0.07587561091906589,-0.022165256335701742,-0.02332642051815427,1.3291970491409302,2.2006235122680664,0.7496770024299622
0.3,7,115,16,Pericyte,1.0636631105025214,True,False,0.43478260869565216,-0.5722095441921897,1.0636631105025214,0.35498293843131135,0.3820413003589796,-0.0511401961679044,-0.03935546378640161,0.226137176156044,0.600681483745575,0.15255843102931976
0.3,8,46,6,Ependymal,-0.021705296609712682,False,False,0.06521739130434782,-0.6076042849775674,-0.35650829044097754,-0.14553498142007468,-0.2855077196618785,-0.021705296609712682,-0.09922845792079317,0.038045402616262436,0.05591776221990585,0.17128302156925201
0.3,9,51,4,Endo,0.9666224889194264,True,False,0.9803921568627451,0.9666224889194264,0.7058100550719697,0.08212751115848815,-0.008399617297976628,-0.1519376128152305,0.0196922253442356,1.8220537900924683,3.6649765968322754,1.9449714422225952
0.3,10,34,11,Endo,0.3294859891311795,True,False,0.3235294117647059,0.3294859891311795,-0.03428106979839674,-0.020701052733496123,-0.13048148435704848,0.044234747080241936,-0.04604311450439341,1.298296570777893,2.0704500675201416,0.9278949499130249
0.6,0,80,13,Endo,0.3801971328606208,True,False,0.225,0.3801971328606208,0.0234151239896514,0.010288506350169582,-0.2032814873173833,0.0294228027947247,-0.07900663713427881,1.528369426727295,2.1878552436828613,0.8752954602241516
0.6,1,103,13,Endo,1.1543913356077324,True,False,0.24271844660194175,1.1543913356077324,-0.3236812445212528,-0.07369583106446034,-0.3029538050415446,-0.08499384127774284,-0.03183351187162029,2.0251858234405518,3.1606264114379883,1.4091730117797852
0.6,2,17,9,Endo,0.6739253160532783,True,True,0.5882352941176471,0.6739253160532783,0.14434509726633665,-0.060861636458658705,-0.1703938505228828,0.009601478015675267,0.05570481189325743,1.5586680173873901,2.778576612472534,0.9379924535751343
0.6,3,104,9,Endo,0.9824225948407099,True,False,0.125,0.9824225948407099,0.549077868920619,0.47165303478065207,0.1991117184849886,-0.12606198763188262,0.06856415065387503,2.559265613555908,2.8651063442230225,1.6225359439849854
0.6,4,73,14,Endo,0.3552373297573769,True,False,0.3150684931506849,0.3552373297573769,0.13230951440505656,-0.04045069976076144,-0.08280447865512273,-0.019572344724446127,-0.025616301817981073,1.3209311962127686,2.242298126220703,0.7533636689186096
0.6,5,22,3,Pericyte,0.9012616347170759,True,True,0.9545454545454546,-0.53658189014955,0.9012616347170759,0.10838891115152474,0.3869964529817755,-0.09711138215931979,-0.03758783721562588,0.3117087781429291,1.2913323640823364,0.2828565537929535
0.6,6,69,8,Pericyte,0.9313246951285485,True,False,0.391304347826087,0.9219194620012662,0.9313246951285485,0.11810850211675616,0.3677369501556175,0.022625510226125307,-0.04197691697429344,2.239670753479004,3.218397617340088,1.2185524702072144
0.6,7,46,6,Ependymal,-0.021705296609712682,False,False,0.06521739130434782,-0.6076042849775674,-0.35650829044097754,-0.14553498142007468,-0.2855077196618785,-0.021705296609712682,-0.09922845792079317,0.038045402616262436,0.05591776221990585,0.17128302156925201
0.6,8,92,15,Pericyte,1.1000265710207289,True,False,0.31521739130434784,-0.5943890688514364,1.1000265710207289,0.41428994648482487,0.38020701039355737,-0.042729083260764245,-0.039754418050465375,0.18142558634281158,0.4093811511993408,0.1106419563293457
0.6,9,147,12,Endo,1.5516784933743293,True,False,0.48299319727891155,1.5516784933743293,-0.17346482945340475,-0.08919894973166675,-0.28323205957607345,0.0861074270358702,-0.005141478941824431,2.48222017288208,4.054384708404541,1.9528735876083374
0.6,10,51,4,Endo,0.9666224889194264,True,False,0.9803921568627451,0.9666224889194264,0.7058100550719697,0.08212751115848815,-0.008399617297976628,-0.1519376128152305,0.0196922253442356,1.8220537900924683,3.6649765968322754,1.9449714422225952
0.6,11,34,11,Endo,0.3294859891311795,True,False,0.3235294117647059,0.3294859891311795,-0.03428106979839674,-0.020701052733496123,-0.13048148435704848,0.044234747080241936,-0.04604311450439341,1.298296570777893,2.0704500675201416,0.9278949499130249
