baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,celltype,cohort,n_donors
336512.0033723582,-0.021389905420477914,0.1551862631716013,-0.1378337552778461,0.8903718061082977,0.9882372759753295,MALAT1,Oligo,GSE278576_sexadj,30
261943.91777912076,0.0320548542826838,0.2013543156501885,0.15919626147160654,0.8735142492152795,0.985898029137921,PCDH9,Oligo,GSE278576_sexadj,30
147105.25600455617,0.035230412882902344,0.18620395935998024,0.1892033499394762,0.8499334422134989,0.9813766968234569,IL1RAPL1,Oligo,GSE278576_sexadj,30
97653.65195414066,0.07474420552133294,0.1405485918006168,0.5318033042078828,0.5948622340407185,0.938330410170278,QKI,Oligo,GSE278576_sexadj,30
89727.97642683194,-0.08899992715406038,0.1564311352006344,-0.568939981416816,0.5693968713501696,0.9319328043388638,CTNNA3,Oligo,GSE278576_sexadj,30
83746.43345444181,-0.23396255864985022,0.17817154769499938,-1.3131308655990122,0.18913885481936665,0.7265183450073548,PLP1,Oligo,GSE278576_sexadj,30
71588.87709031446,-0.08657742055355658,0.1648431266196558,-0.5252109828838513,0.5994365308221503,0.9386753607703873,PDE4B,Oligo,GSE278576_sexadj,30
70689.68915745629,-0.057317696734752,0.26824163344428664,-0.21367934574055145,0.8307971190607198,0.9783279325394608,CADM2,Oligo,GSE278576_sexadj,30
70063.82570637303,-0.1795500173136923,0.1577279550357876,-1.1383525341018552,0.2549733057093482,0.7832752758267179,MAGI2,Oligo,GSE278576_sexadj,30
64859.545794951475,-0.21392267287720496,0.1594718315857864,-1.3414448855949035,0.17977605263289154,0.7155470339184753,DLG2,Oligo,GSE278576_sexadj,30
62090.31165263561,0.005171327470370658,0.15613425510059378,0.033121030788784235,0.9735780718050601,0.9972476424825759,ST18,Oligo,GSE278576_sexadj,30
59434.63350503278,0.04533019954825782,0.21257894711343464,0.21323936431047,0.8311402659874271,0.9783279325394608,PPP2R2B,Oligo,GSE278576_sexadj,30
56915.38656581147,0.5037239884703203,0.20553541823207125,2.4507892255414716,0.014254339433529592,0.2663249959567299,NCAM2,Oligo,GSE278576_sexadj,30
49158.91107224525,-0.05662914284856993,0.155454935494027,-0.36428012187973136,0.715648842073404,0.9621939277640404,PTPRD,Oligo,GSE278576_sexadj,30
46909.80662372661,-0.44952581506881834,0.1989713583528126,-2.259248862701771,0.023867908907626672,0.33346604360424065,NKAIN2,Oligo,GSE278576_sexadj,30
46482.50714172249,0.17948381122911292,0.199551199317908,0.899437396731325,0.36841972735294903,0.8584238876763299,MAN2A1,Oligo,GSE278576_sexadj,30
46161.09482868594,0.5400098078723163,0.1667560996045667,3.238321171776363,0.001202353716576523,0.08256825737775002,PIP4K2A,Oligo,GSE278576_sexadj,30
