"tf","celltype","contrast","dz","p","padj"
"ETV6","Astro","HAvYA",-0.222962158488001,0.0260701025377356,0.979336604887158
"FLI1","Astro","HAvYA",-0.116648846563252,0.257893938481872,0.979336604887158
"FOXI1","Astro","HAvYA",0.00320029041685741,0.981068438697591,0.995976016570843
"FOXL1","Astro","HAvYA",0.00320029041685741,0.981068438697591,0.995976016570843
"FOXO3","Astro","HAvYA",-0.0275435030716207,0.814092463585285,0.979336604887158
"GCM1","Astro","HAvYA",-0.0550641848462314,0.626877835309619,0.979336604887158
"GRHL1","Astro","HAvYA",0.0310405932311378,0.651312199093514,0.979336604887158
"GSC","Astro","HAvYA",-0.0354318974498553,0.667868625264915,0.979336604887158
"HEY2","Astro","HAvYA",0.0640400814900823,0.522186841290407,0.979336604887158
"HINFP","Astro","HAvYA",0.0736972390364384,0.624259239141225,0.979336604887158
"HNF1A","Astro","HAvYA",0.0293607226548578,0.777181182509562,0.979336604887158
"HNF1B","Astro","HAvYA",0.0165076339121848,0.847201160116045,0.988541523911787
"HOXC11","Astro","HAvYA",-0.00432398752059771,0.940434079854734,0.995976016570843
"HSF1","Astro","HAvYA",0.102350023967563,0.317295858951881,0.979336604887158
"IRF8","Astro","HAvYA",0.0630770810265024,0.578537008276858,0.979336604887158
"IRF9","Astro","HAvYA",0.0922151666113844,0.404565753266341,0.979336604887158
"ISX","Astro","HAvYA",-0.190988611803952,0.429228099066499,0.979336604887158
"JDP2","Astro","HAvYA",0.479738962954536,0.306481839704974,0.979336604887158
"JDP2(var.2)","Astro","HAvYA",0.128458609882849,0.489657842984562,0.979336604887158
"KLF13","Astro","HAvYA",0.00721102141467117,0.96020388107311,0.995976016570843
"LHX6","Astro","HAvYA",-0.139984763648693,0.460111383479861,0.979336604887158
"MEF2B","Astro","HAvYA",0.029325105944515,0.806520922859101,0.979336604887158
"MEOX1","Astro","HAvYA",-0.169356293068781,0.39545957814502,0.979336604887158
"MIXL1","Astro","HAvYA",-0.116074907328053,0.55720534162088,0.979336604887158
"MLX","Astro","HAvYA",0.109359349305621,0.333961711012696,0.979336604887158
"MLXIPL","Astro","HAvYA",0.0778600500983748,0.521757141272808,0.979336604887158
"MSC","Astro","HAvYA",-0.125922022568576,0.362459909564816,0.979336604887158
"MSX1","Astro","HAvYA",-0.123165067092933,0.520599540302103,0.979336604887158
"MYF6","Astro","HAvYA",-0.0693708386452816,0.567841421455913,0.979336604887158
"NEUROD2","Astro","HAvYA",-0.162658679822483,0.179846544447543,0.979336604887158
"NEUROG2","Astro","HAvYA",-0.165439626888878,0.18996204411024,0.979336604887158
"NFIA","Astro","HAvYA",0.207794988457872,0.233281227062137,0.979336604887158
"NFIX","Astro","HAvYA",0.0384349648687303,0.804214716473944,0.979336604887158
"NHLH1","Astro","HAvYA",-0.0877021437919032,0.604052348986432,0.979336604887158
"NKX2-3","Astro","HAvYA",-0.104627021582789,0.259540982748677,0.979336604887158
"NKX2-8","Astro","HAvYA",-0.041267379067654,0.662714650675803,0.979336604887158
"NKX6-1","Astro","HAvYA",-0.18701517546638,0.380315360493326,0.979336604887158
"NKX6-2","Astro","HAvYA",-0.18701517546638,0.380315360493326,0.979336604887158
"OLIG2","Astro","HAvYA",-0.134831199188513,0.26267571603525,0.979336604887158
"PAX4","Astro","HAvYA",-0.19043103565739,0.43928970737023,0.979336604887158
"PAX7","Astro","HAvYA",-0.110366458365896,0.212989166908353,0.979336604887158
"POU4F2","Astro","HAvYA",-0.0998655019565233,0.393513502222013,0.979336604887158
"SP4","Astro","HAvYA",0.0206967080812388,0.892131439888615,0.988541523911787
"SPDEF","Astro","HAvYA",-0.0246809331468857,0.689249304925485,0.979336604887158
"SPIC","Astro","HAvYA",-0.0940115943279657,0.210095051966452,0.979336604887158
"SRF","Astro","HAvYA",0.00590465514583991,0.955440177768686,0.995976016570843
"TBXT","Astro","HAvYA",-0.124280610349366,0.237733369987663,0.979336604887158
"TBX2","Astro","HAvYA",-0.0249899290426482,0.839914048740048,0.988226009019425
"TBX20","Astro","HAvYA",-0.021157854833649,0.86644240101617,0.988541523911787
