baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,celltype,cohort,n_donors
317394.40401592024,0.0023811583876038648,0.002485789876158471,0.9579081524314906,0.33810907518462485,0.6539516802900769,MALAT1,Oligo,GSE278576_age,40
239455.2756766608,0.003950961812250033,0.003441239098502942,1.1481218535407314,0.2509182637590318,0.5734698253926052,PCDH9,Oligo,GSE278576_age,40
134531.21628914852,0.0036358832066564744,0.0033432503652584345,1.0875294427360123,0.27680289385839985,0.5997494754320566,IL1RAPL1,Oligo,GSE278576_age,40
92040.45219290626,0.0027991376499647727,0.0024251996531858993,1.154188541255828,0.24842287938098717,0.5709989257859324,QKI,Oligo,GSE278576_age,40
83502.60983301427,0.0013007094282467269,0.00284368143555422,0.4574033546740177,0.6473811535683965,0.8508250847831108,CTNNA3,Oligo,GSE278576_age,40
83063.77273447353,-0.00483545300377061,0.003113687369937416,-1.5529667655323407,0.12043107464327077,0.4185901967009194,PLP1,Oligo,GSE278576_age,40
66845.00221622654,-0.0010992641773920014,0.002569613590216018,-0.42779357237894683,0.6688014169869343,0.8609685112434878,MAGI2,Oligo,GSE278576_age,40
66354.5913069594,0.0004540712681830243,0.004854508507067238,0.09353599185622669,0.9254777576507862,0.9735482597289984,CADM2,Oligo,GSE278576_age,40
66024.91257527731,0.0007363921165387148,0.00292432418588949,0.25181617007169366,0.8011831580885856,0.9229765876141451,PDE4B,Oligo,GSE278576_age,40
61630.2806515897,-0.0014877590854169304,0.0027299520870598137,-0.544976262575825,0.5857698435555878,0.8197030446157547,DLG2,Oligo,GSE278576_age,40
57951.719131152706,0.0029598809189456043,0.0026875145346453725,1.101345083268981,0.2707464967823787,0.593110212578167,ST18,Oligo,GSE278576_age,40
56633.28127740887,0.0022497051627984764,0.0036209105560303335,0.6213092336820567,0.5343961794675148,0.7907034103538964,PPP2R2B,Oligo,GSE278576_age,40
50126.66438583579,0.01267314102645673,0.0037103735808412673,3.4155970417359693,0.0006364234831581293,0.024430719522612065,NCAM2,Oligo,GSE278576_age,40
47591.524341137745,0.014900729272045693,0.0030177871411067067,4.937634291390473,7.90759522768793e-07,0.0001527424124690752,MALAT1,Astro,GSE278576_age,40
