baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,celltype,cohort,n_donors
846473.5588895077,-0.026529352856108922,0.06243135493675644,-0.4249363622331025,0.6708830662649353,0.9999965472749871,MALAT1,Oligo,GSE186538_drop79,5
475084.1877232251,0.044783763063346846,0.08266357858894104,0.541759307155596,0.587984327644177,0.9998561379193365,MALAT1,Astro,GSE186538_drop79,5
348808.67867840885,0.002958518759181007,0.0639126083493331,0.046290064442533085,0.9630790582481606,0.9999965472749871,PCDH9,Oligo,GSE186538_drop79,5
264768.20970263163,-0.025956641355217105,0.07679432883230274,-0.338002060176854,0.7353616352592987,0.9999029205116897,MALAT1,OPC,GSE186538_drop79,5
215696.53399798466,0.0038558437994604634,0.06024163837131216,0.06400629039492832,0.9489652180698158,0.9999965472749871,IL1RAPL1,Oligo,GSE186538_drop79,5
204240.32938466646,-0.0523638839499284,0.09431451217518981,-0.5552049492941462,0.5787544840110195,0.9999965472749871,PLP1,Oligo,GSE186538_drop79,5
153288.3341772135,0.022714436181943708,0.057644808120569276,0.3940413182473334,0.693550534353028,0.9999965472749871,QKI,Oligo,GSE186538_drop79,5
136163.23609892148,-0.047069772080548355,0.07085284303287002,-0.6643314518615967,0.5064781951116346,0.9999965472749871,CTNNA3,Oligo,GSE186538_drop79,5
128659.29398165488,-0.050265690434797,0.08545822849986658,-0.5881901756818593,0.5564046508825257,0.9999965472749871,CADM2,Oligo,GSE186538_drop79,5
125736.27544028033,-0.018425750747239303,0.06132336134262744,-0.3004687013859283,0.7638196667737358,0.9999965472749871,DLG2,Oligo,GSE186538_drop79,5
125065.88603571469,0.06644004570883356,0.061477670018612186,1.0807183435663557,0.2798224208407858,0.9999965472749871,PDE4B,Oligo,GSE186538_drop79,5
122847.2382054829,-0.0028083524055769553,0.0677757269226719,-0.041435961414049,0.9669483443417728,0.9999965472749871,MAGI2,Oligo,GSE186538_drop79,5
121187.37509988275,0.05948143986488417,0.06495373171291585,0.9157509244854743,0.35979754867457714,0.9999965472749871,PPP2R2B,Oligo,GSE186538_drop79,5
113989.62885629697,-0.14313938111219632,0.08277322090871833,-1.729295773932119,0.0837561726166524,0.9998561379193365,DPP10,Astro,GSE186538_drop79,5
97158.19777967453,-0.045489659824022755,0.06476106207562397,-0.7024230049053665,0.4824154028348281,0.9999965472749871,ST18,Oligo,GSE186538_drop79,5
96668.36693442232,-0.05370804224143595,0.06486563669537969,-0.827989132268265,0.4076766546140921,0.9999965472749871,MBP,Oligo,GSE186538_drop79,5
93599.2426922268,0.01727864798660602,0.0806544619124102,0.2142305283168392,0.8303672905200982,0.9998561379193365,LSAMP,Astro,GSE186538_drop79,5
