celltype,set,gene,n_peaks,rna_sign,oriented_mean_lfc
Astro,frozen_hit_linked,PAPPA2,1,1,-0.2515
Astro,frozen_hit_linked,USH2A,2,-1,-0.0331
Astro,frozen_hit_linked,LYPD6,3,-1,0.0491
Astro,frozen_hit_linked,FAP,3,1,0.2459
Astro,frozen_hit_linked,FN1,1,-1,0.377
Astro,frozen_hit_linked,IGFBP5,2,1,0.0948
Astro,frozen_hit_linked,OTOS,2,1,0.0963
Astro,frozen_hit_linked,TAFA1,53,-1,0.1713
Astro,frozen_hit_linked,COL8A1,1,1,0.1818
Astro,frozen_hit_linked,APOD,3,1,-0.128
Astro,frozen_hit_linked,CXCL2,2,1,-0.0047
Astro,frozen_hit_linked,ANTXR2,1,1,0.1209
Astro,frozen_hit_linked,ADAMTS19,2,-1,0.3319
Astro,frozen_hit_linked,COL21A1,15,1,0.1768
Astro,frozen_hit_linked,COL12A1,5,1,0.0402
Astro,frozen_hit_linked,CCN2,1,1,-0.0068
Astro,frozen_hit_linked,SEMA3D,7,1,0.3557
Astro,frozen_hit_linked,COL26A1,1,-1,-0.0405
Astro,frozen_hit_linked,ANXA1,5,1,0.3495
Astro,frozen_hit_linked,ECM2,4,1,0.2122
Astro,frozen_hit_linked,TNC,6,1,0.3111
Astro,frozen_hit_linked,CRB2,5,1,0.1415
Astro,frozen_hit_linked,HMCN2,9,-1,0.2344
Astro,frozen_hit_linked,WNT5B,17,-1,0.2376
Astro,frozen_hit_linked,KITLG,1,1,0.397
Astro,frozen_hit_linked,CHST9,8,1,0.1692
Astro,all_secretome_linked,ISG15,5,1,-0.0354
Astro,all_secretome_linked,AGRN,1,1,-0.0413
Astro,all_secretome_linked,VWA1,3,1,0.0292
Astro,all_secretome_linked,MMEL1,1,1,0.0029
Astro,all_secretome_linked,MEGF6,25,1,-0.0009
Astro,all_secretome_linked,TNFRSF25,1,-1,-0.3157
Astro,all_secretome_linked,CORT,1,1,-0.1666
Astro,all_secretome_linked,ANGPTL7,2,1,-0.2998
Astro,all_secretome_linked,DRAXIN,2,1,0.2909
Astro,all_secretome_linked,NPPA,2,1,-0.1811
Astro,all_secretome_linked,TNFRSF1B,2,1,-0.1222
Astro,all_secretome_linked,CELA2B,1,1,0.1354
Astro,all_secretome_linked,NBL1,14,-1,0.1447
Astro,all_secretome_linked,PLA2G5,1,-1,0.295
Astro,all_secretome_linked,PLA2G2C,2,-1,0.3768
Astro,all_secretome_linked,VWA5B1,2,-1,-0.0511
Astro,all_secretome_linked,HSPG2,2,-1,-0.1117
Astro,all_secretome_linked,WNT4,1,1,0.4093
Astro,all_secretome_linked,C1QA,2,1,-0.3053
Astro,all_secretome_linked,C1QC,3,1,0.038
Astro,all_secretome_linked,C1QB,3,1,0.1214
Astro,all_secretome_linked,COL16A1,3,1,0.1195
Astro,all_secretome_linked,ADGRB2,5,-1,-0.0842
Astro,all_secretome_linked,FNDC5,2,-1,0.219
Astro,all_secretome_linked,COL8A2,7,1,-0.0724
Astro,all_secretome_linked,CSF3R,1,-1,0.1811
Astro,all_secretome_linked,EPHA10,3,-1,0.3067
Astro,all_secretome_linked,BMP8A,3,-1,0.394
Astro,all_secretome_linked,BMP8B,2,-1,0.1568
Astro,all_secretome_linked,PPT1,6,1,0.0303
Astro,all_secretome_linked,COL9A2,1,1,0.1437
Astro,all_secretome_linked,YBX1,1,1,0.068
Astro,all_secretome_linked,P3H1,1,-1,0.0086
Astro,all_secretome_linked,SVBP,1,1,0.1086
Astro,all_secretome_linked,ST3GAL3,7,-1,-0.0612
Astro,all_secretome_linked,SPATA6,1,-1,0.0756
Astro,all_secretome_linked,GPX7,1,-1,0.0647
Astro,all_secretome_linked,PODN,1,1,-0.0215
Astro,all_secretome_linked,LRP8,1,-1,0.0684
Astro,all_secretome_linked,SSBP3-AS1,1,-1,0.1807
Astro,all_secretome_linked,LEPR,20,-1,0.0165
Astro,all_secretome_linked,CCN1,2,1,0.0563
Astro,all_secretome_linked,COL24A1,1,-1,0.3152
Astro,all_secretome_linked,CLCA4,1,1,0.0532
Astro,all_secretome_linked,GBP1,1,1,0.2195
Astro,all_secretome_linked,TGFBR3,9,1,-0.0946
Astro,all_secretome_linked,F3,2,1,0.144
Astro,all_secretome_linked,VCAM1,2,1,0.0097
Astro,all_secretome_linked,EXTL2,1,1,-0.1325
Astro,all_secretome_linked,OLFM3,25,-1,0.147
Astro,all_secretome_linked,COL11A1,1,-1,-0.0093
Astro,all_secretome_linked,AMY2B,3,-1,0.1802
Astro,all_secretome_linked,AMY2A,1,-1,0.3193
Astro,all_secretome_linked,CSF1,2,1,0.0462
Astro,all_secretome_linked,CHI3L2,12,1,0.0701
Astro,all_secretome_linked,WNT2B,3,1,-0.0586
Astro,all_secretome_linked,OLFML3,2,1,0.0392
Astro,all_secretome_linked,NGF,1,1,0.115
Astro,all_secretome_linked,CD160,3,-1,0.1831
Astro,all_secretome_linked,NOTCH2NLA,1,1,0.6248
Astro,all_secretome_linked,NOTCH2NLC,1,1,-0.1323
Astro,all_secretome_linked,C1orf54,3,-1,-0.0906
Astro,all_secretome_linked,ECM1,3,1,-0.0808
Astro,all_secretome_linked,ADAMTSL4,2,1,-0.1244
Astro,all_secretome_linked,CTSS,2,1,-0.2492
Astro,all_secretome_linked,CTSK,2,1,-0.0711
Astro,all_secretome_linked,C1orf56,2,1,0.2166
Astro,all_secretome_linked,TUFT1,1,-1,0.2666
Astro,all_secretome_linked,S100A9,1,1,0.2401
Astro,all_secretome_linked,S100A8,1,-1,-0.3233
Astro,all_secretome_linked,S100A4,3,1,0.3144
Astro,all_secretome_linked,S100A13,2,1,0.1403
Astro,all_secretome_linked,IL6R,3,-1,-0.0829
Astro,all_secretome_linked,EFNA4,2,1,-0.1459
Astro,all_secretome_linked,EFNA1,2,1,-0.1992
Astro,all_secretome_linked,MUC1,2,1,-0.0119
Astro,all_secretome_linked,THBS3,1,-1,0.0024
Astro,all_secretome_linked,BGLAP,2,1,0.2854
Astro,all_secretome_linked,NAXE,2,1,-0.0997
Astro,all_secretome_linked,HAPLN2,1,1,-0.4623
Astro,all_secretome_linked,BCAN,2,-1,0.1499
Astro,all_secretome_linked,HDGF,1,1,-0.0017
Astro,all_secretome_linked,COPA,1,-1,0.195
Astro,all_secretome_linked,ADAMTS4,4,1,0.1199
Astro,all_secretome_linked,FCGR3A,1,1,0.0194
Astro,all_secretome_linked,OLFML2B,14,-1,0.0325
Astro,all_secretome_linked,CREG1,1,1,0.2964
Astro,all_secretome_linked,F5,2,1,0.2737
Astro,all_secretome_linked,TNN,2,-1,0.601
Astro,all_secretome_linked,TNR,3,-1,-0.0144
Astro,all_secretome_linked,PAPPA2,1,1,-0.2515
Astro,all_secretome_linked,BRINP2,1,-1,-0.1043
Astro,all_secretome_linked,ANGPTL1,1,-1,-0.0105
Astro,all_secretome_linked,QSOX1,2,-1,0.1194
Astro,all_secretome_linked,MR1,1,1,-0.2129
Astro,all_secretome_linked,LAMC1,1,1,0.18
Astro,all_secretome_linked,HMCN1,1,1,-0.2203
Astro,all_secretome_linked,BRINP3,3,-1,-0.0396
Astro,all_secretome_linked,CFH,2,1,-0.3637
Astro,all_secretome_linked,CRB1,31,1,0.1653
Astro,all_secretome_linked,RNPEP,1,1,0.1496
Astro,all_secretome_linked,CHI3L1,2,1,-0.4706
Astro,all_secretome_linked,CHIT1,1,1,-0.124
Astro,all_secretome_linked,FMOD,2,1,0.0585
Astro,all_secretome_linked,PRELP,3,1,0.0936
Astro,all_secretome_linked,REN,4,1,-0.4135
Astro,all_secretome_linked,CNTN2,2,1,-0.1946
Astro,all_secretome_linked,PM20D1,2,-1,-0.3818
Astro,all_secretome_linked,IL19,17,-1,0.0694
Astro,all_secretome_linked,C4BPA,1,1,0.0568
Astro,all_secretome_linked,CD55,1,1,0.0681
Astro,all_secretome_linked,CR1L,1,1,0.0941
Astro,all_secretome_linked,LAMB3,3,1,0.1632
Astro,all_secretome_linked,NENF,1,1,0.3869
Astro,all_secretome_linked,VASH2,2,-1,0.2377
Astro,all_secretome_linked,USH2A,2,-1,-0.0331
Astro,all_secretome_linked,TGFB2,3,1,0.1526
Astro,all_secretome_linked,SUSD4,1,-1,0.1272
Astro,all_secretome_linked,LEFTY1,2,1,-0.0243
Astro,all_secretome_linked,WNT9A,2,1,0.2725
Astro,all_secretome_linked,GALNT2,1,-1,-0.0202
Astro,all_secretome_linked,AGT,1,1,-0.0733
Astro,all_secretome_linked,NID1,2,-1,0.351
Astro,all_secretome_linked,GREM2,1,1,-0.2087
Astro,all_secretome_linked,NLRP3,2,1,-0.1575
Astro,all_secretome_linked,ALKAL2,1,-1,-0.3517
Astro,all_secretome_linked,PXDN,1,-1,0.2257
Astro,all_secretome_linked,COLEC11,5,1,-0.1604
Astro,all_secretome_linked,GDF7,1,-1,0.4746
Astro,all_secretome_linked,APOB,1,1,-0.0046
Astro,all_secretome_linked,POMC,1,-1,0.1091
Astro,all_secretome_linked,EMILIN1,1,1,-0.0882
Astro,all_secretome_linked,CGREF1,2,1,0.0412
Astro,all_secretome_linked,UCN,2,1,0.3381
Astro,all_secretome_linked,FNDC4,1,1,0.0836
Astro,all_secretome_linked,LTBP1,27,-1,0.0492
Astro,all_secretome_linked,CRIM1,2,-1,-0.1145
Astro,all_secretome_linked,VIT,1,-1,-0.112
Astro,all_secretome_linked,QPCT,2,1,-0.1265
Astro,all_secretome_linked,PKDCC,2,-1,-0.0861
Astro,all_secretome_linked,EFEMP1,1,1,0.3348
Astro,all_secretome_linked,TGFA,2,1,-0.3262
Astro,all_secretome_linked,PRADC1,1,1,-0.1485
Astro,all_secretome_linked,LOXL3,1,1,-0.0185
Astro,all_secretome_linked,GNLY,1,1,-0.4661
Astro,all_secretome_linked,CD8A,2,-1,-0.2043
Astro,all_secretome_linked,THNSL2,2,1,0.3814
Astro,all_secretome_linked,MGAT4A,11,-1,0.0517
Astro,all_secretome_linked,CREG2,2,1,-0.1618
Astro,all_secretome_linked,IL1R1,9,1,0.1895
Astro,all_secretome_linked,ECRG4,1,1,0.4834
Astro,all_secretome_linked,FBLN7,2,-1,0.1463
Astro,all_secretome_linked,IL1A,2,-1,-0.0803
Astro,all_secretome_linked,C1QL2,1,1,-0.3956
Astro,all_secretome_linked,INHBB,1,1,0.0726
Astro,all_secretome_linked,PROC,1,1,0.0054
Astro,all_secretome_linked,MGAT5,36,-1,0.0806
Astro,all_secretome_linked,NXPH2,3,-1,0.2177
Astro,all_secretome_linked,LYPD6,3,-1,0.0491
Astro,all_secretome_linked,NMI,1,-1,0.0566
Astro,all_secretome_linked,TNFAIP6,2,-1,-0.2025
Astro,all_secretome_linked,PLA2R1,3,-1,0.1424
Astro,all_secretome_linked,FAP,3,1,0.2459
Astro,all_secretome_linked,FRZB,2,1,-0.0282
Astro,all_secretome_linked,TFPI,3,1,-0.0804
Astro,all_secretome_linked,COL3A1,1,-1,-0.1866
Astro,all_secretome_linked,COL5A2,1,-1,-0.0751
Astro,all_secretome_linked,MSTN,4,-1,-0.1541
Astro,all_secretome_linked,TMEFF2,3,-1,0.068
Astro,all_secretome_linked,NRP2,2,1,0.0841
Astro,all_secretome_linked,ADAM23,1,1,0.2215
Astro,all_secretome_linked,VWC2L,1,1,-0.1768
Astro,all_secretome_linked,FN1,1,-1,0.377
Astro,all_secretome_linked,IGFBP2,4,-1,0.449
Astro,all_secretome_linked,IGFBP5,2,1,0.0948
Astro,all_secretome_linked,ABCB6,1,1,0.0338
Astro,all_secretome_linked,GLB1L,2,1,0.0481
Astro,all_secretome_linked,INHA,1,1,0.006
Astro,all_secretome_linked,SCG2,2,1,0.6137
Astro,all_secretome_linked,SERPINE2,3,-1,-0.0513
Astro,all_secretome_linked,COL4A4,1,1,-0.2764
Astro,all_secretome_linked,COL4A3,1,1,-0.2764
Astro,all_secretome_linked,NPPC,1,1,-0.0576
Astro,all_secretome_linked,SNORC,2,-1,-0.0345
Astro,all_secretome_linked,COL6A3,6,1,0.0177
Astro,all_secretome_linked,OTOS,2,1,0.0963
Astro,all_secretome_linked,GPC1,6,-1,0.0149
Astro,all_secretome_linked,SNED1,12,1,-0.0554
Astro,all_secretome_linked,CHL1,31,-1,0.0516
Astro,all_secretome_linked,CNTN4,69,-1,0.109
Astro,all_secretome_linked,IL17RE,2,1,0.2283
Astro,all_secretome_linked,GHRL,4,-1,0.1997
Astro,all_secretome_linked,TIMP4,1,1,-0.0939
Astro,all_secretome_linked,FBLN2,6,1,-0.3179
Astro,all_secretome_linked,WNT7A,1,-1,-0.0309
Astro,all_secretome_linked,COLQ,7,1,0.1416
Astro,all_secretome_linked,BTD,8,1,0.1635
Astro,all_secretome_linked,TGFBR2,2,1,0.3017
Astro,all_secretome_linked,CRTAP,1,1,0.1857
Astro,all_secretome_linked,PDCD6IP,1,1,0.0354
Astro,all_secretome_linked,CCK,4,1,0.1369
Astro,all_secretome_linked,GASK1A,2,-1,-0.0769
Astro,all_secretome_linked,CDCP1,2,1,0.1012
Astro,all_secretome_linked,LTF,2,1,-0.1929
Astro,all_secretome_linked,CSPG5,1,-1,0.1739
Astro,all_secretome_linked,SPINK8,1,1,0.0179
Astro,all_secretome_linked,PLXNB1,4,1,0.043
Astro,all_secretome_linked,COL7A1,3,1,-0.194
Astro,all_secretome_linked,LAMB2,1,1,0.0929
Astro,all_secretome_linked,DAG1,1,-1,-0.0546
Astro,all_secretome_linked,MST1,1,1,0.0134
Astro,all_secretome_linked,SEMA3F,3,-1,-0.0629
Astro,all_secretome_linked,SEMA3B,3,1,-0.0937
Astro,all_secretome_linked,HYAL1,2,1,0.0345
Astro,all_secretome_linked,MANF,1,1,0.005
Astro,all_secretome_linked,ITIH4,1,-1,-0.027
Astro,all_secretome_linked,MUSTN1,2,1,0.1761
Astro,all_secretome_linked,IL17RB,2,1,0.0453
Astro,all_secretome_linked,WNT5A,6,1,0.0491
Astro,all_secretome_linked,ADAMTS9,2,-1,-0.0945
Astro,all_secretome_linked,TAFA1,53,-1,0.1713
Astro,all_secretome_linked,TAFA4,1,-1,0.2186
Astro,all_secretome_linked,PROK2,1,1,0.2025
Astro,all_secretome_linked,EPHA3,1,1,-0.1268
Astro,all_secretome_linked,PROS1,2,-1,0.1274
Astro,all_secretome_linked,COL8A1,1,1,0.1818
Astro,all_secretome_linked,ABI3BP,1,1,0.6666
Astro,all_secretome_linked,NXPE3,4,1,-0.0818
Astro,all_secretome_linked,ZPLD1,26,1,0.0281
Astro,all_secretome_linked,ALCAM,33,-1,0.0018
Astro,all_secretome_linked,BTLA,1,1,0.0537
Astro,all_secretome_linked,CCDC80,2,-1,0.0684
Astro,all_secretome_linked,CD200R1,2,1,0.1742
Astro,all_secretome_linked,B4GALT4,3,1,-0.0673
Astro,all_secretome_linked,PLA1A,2,1,-0.0854
Astro,all_secretome_linked,FSTL1,1,-1,-0.0074
Astro,all_secretome_linked,MUC13,1,-1,0.1415
Astro,all_secretome_linked,HEG1,1,1,0.0726
Astro,all_secretome_linked,COL6A6,1,-1,0.2197
Astro,all_secretome_linked,TF,4,-1,0.0414
Astro,all_secretome_linked,PCOLCE2,1,-1,-0.0335
Astro,all_secretome_linked,DIPK2A,1,1,0.1059
Astro,all_secretome_linked,CPB1,5,-1,-0.1972
Astro,all_secretome_linked,CP,2,1,0.4578
Astro,all_secretome_linked,IGSF10,2,1,0.1702
Astro,all_secretome_linked,C3orf33,1,-1,0.1243
Astro,all_secretome_linked,PTX3,1,1,0.2169
Astro,all_secretome_linked,RARRES1,2,-1,0.0497
Astro,all_secretome_linked,IL12A,2,-1,0.2166
Astro,all_secretome_linked,BCHE,2,-1,0.0081
Astro,all_secretome_linked,SERPINI1,1,-1,0.1086
Astro,all_secretome_linked,TNFSF10,1,1,0.0316
Astro,all_secretome_linked,THPO,3,1,-0.3247
Astro,all_secretome_linked,CHRD,3,-1,0.3247
Astro,all_secretome_linked,ST6GAL1,29,1,-0.0408
Astro,all_secretome_linked,MASP1,2,-1,0.3351
Astro,all_secretome_linked,SST,1,-1,-0.019
Astro,all_secretome_linked,IL1RAP,12,1,0.1826
Astro,all_secretome_linked,UTS2B,7,1,0.1384
Astro,all_secretome_linked,APOD,3,1,-0.128
Astro,all_secretome_linked,MUC20,3,1,-0.0787
Astro,all_secretome_linked,TFRC,1,1,0.0605
Astro,all_secretome_linked,FBXO45,1,1,-0.0975
Astro,all_secretome_linked,SPON2,11,1,0.0654
Astro,all_secretome_linked,FGFR3,2,-1,0.0242
Astro,all_secretome_linked,C4orf48,1,1,0.0465
Astro,all_secretome_linked,HGFAC,3,-1,0.0814
Astro,all_secretome_linked,CYTL1,2,-1,0.1135
Astro,all_secretome_linked,MAN2B2,1,1,0.0351
Astro,all_secretome_linked,C1QTNF7,20,-1,0.0008
Astro,all_secretome_linked,SLIT2,2,-1,0.2247
Astro,all_secretome_linked,SOD3,1,1,-0.0895
Astro,all_secretome_linked,LGI2,2,-1,-0.1537
Astro,all_secretome_linked,SMIM20,1,-1,0.0726
Astro,all_secretome_linked,CORIN,10,-1,0.0878
Astro,all_secretome_linked,ERVMER34-1,1,-1,0.4346
Astro,all_secretome_linked,KDR,2,-1,-0.1339
Astro,all_secretome_linked,NMU,1,-1,0.5182
Astro,all_secretome_linked,IGFBP7,1,1,0.0649
Astro,all_secretome_linked,TMPRSS11D,1,1,0.2247
Astro,all_secretome_linked,GC,1,-1,-0.2002
Astro,all_secretome_linked,ADAMTS3,1,-1,0.0417
Astro,all_secretome_linked,ALB,1,-1,-0.1128
Astro,all_secretome_linked,CXCL5,1,1,0.1268
Astro,all_secretome_linked,CXCL3,2,1,0.034
Astro,all_secretome_linked,CXCL2,2,1,-0.0047
Astro,all_secretome_linked,BTC,1,1,0.3661
Astro,all_secretome_linked,ANTXR2,1,1,0.1209
Astro,all_secretome_linked,FGF5,1,-1,0.3644
Astro,all_secretome_linked,HPSE,2,1,-0.2214
Astro,all_secretome_linked,SPARCL1,3,-1,0.1916
Astro,all_secretome_linked,SPP1,4,1,0.156
Astro,all_secretome_linked,PKD2,8,1,0.0654
Astro,all_secretome_linked,SNCA,1,1,0.6062
Astro,all_secretome_linked,MMRN1,5,-1,0.1465
Astro,all_secretome_linked,NPNT,1,1,0.0826
Astro,all_secretome_linked,AIMP1,1,1,0.0504
Astro,all_secretome_linked,DKK2,21,-1,0.1153
Astro,all_secretome_linked,COL25A1,30,1,-0.0225
Astro,all_secretome_linked,PLA2G12A,1,1,-0.0609
Astro,all_secretome_linked,CFI,3,1,0.4928
Astro,all_secretome_linked,ARSJ,1,-1,0.1015
Astro,all_secretome_linked,PRSS12,1,-1,0.1414
Astro,all_secretome_linked,NDNF,2,1,0.2653
Astro,all_secretome_linked,FGF2,1,-1,0.2937
Astro,all_secretome_linked,ABHD18,1,1,0.1196
Astro,all_secretome_linked,PGRMC2,2,-1,-0.0952
Astro,all_secretome_linked,IL15,9,1,0.0403
Astro,all_secretome_linked,FREM3,1,-1,0.6793
Astro,all_secretome_linked,HHIP,2,1,-0.1754
Astro,all_secretome_linked,PRSS48,1,1,0.0516
Astro,all_secretome_linked,SFRP2,3,-1,-0.1418
Astro,all_secretome_linked,PDGFC,2,-1,-0.2041
Astro,all_secretome_linked,FSTL5,1,-1,0.143
Astro,all_secretome_linked,CPE,1,1,0.1773
Astro,all_secretome_linked,TLL1,1,-1,-0.1106
Astro,all_secretome_linked,SPOCK3,24,-1,0.0948
Astro,all_secretome_linked,HMGB2,1,1,-0.0131
Astro,all_secretome_linked,SCRG1,1,1,-0.0025
Astro,all_secretome_linked,VEGFC,1,-1,0.0554
Astro,all_secretome_linked,SNX25,3,1,0.2741
Astro,all_secretome_linked,KLKB1,1,1,-0.103
Astro,all_secretome_linked,EXOC3-AS1,2,1,-0.0851
Astro,all_secretome_linked,ADAMTS16,2,-1,-0.0844
Astro,all_secretome_linked,NSUN2,1,-1,-0.0497
Astro,all_secretome_linked,PDZD2,1,-1,0.1073
Astro,all_secretome_linked,ADAMTS12,2,1,-0.0248
Astro,all_secretome_linked,C1QTNF3,2,-1,0.2356
Astro,all_secretome_linked,PRLR,28,1,0.0879
Astro,all_secretome_linked,IL7R,2,-1,0.1395
Astro,all_secretome_linked,EGFLAM,25,-1,0.1122
Astro,all_secretome_linked,LIFR,11,-1,-0.0299
Astro,all_secretome_linked,C6,2,1,0.4185
Astro,all_secretome_linked,GHR,16,1,-0.0222
Astro,all_secretome_linked,SELENOP,5,1,0.198
Astro,all_secretome_linked,CCL28,3,1,0.3304
Astro,all_secretome_linked,FGF10,1,1,-0.2015
Astro,all_secretome_linked,IL6ST,5,-1,-0.0421
Astro,all_secretome_linked,ADAMTS6,2,-1,0.0112
Astro,all_secretome_linked,CARTPT,1,-1,0.2987
Astro,all_secretome_linked,CRHBP,2,-1,-0.0465
Astro,all_secretome_linked,AGGF1,1,-1,0.1029
Astro,all_secretome_linked,ZBED3,1,-1,-0.1688
Astro,all_secretome_linked,THBS4,2,1,0.0432
Astro,all_secretome_linked,VCAN,2,1,0.1372
Astro,all_secretome_linked,HAPLN1,5,-1,-0.0166
Astro,all_secretome_linked,EDIL3,2,1,-0.1976
Astro,all_secretome_linked,ARSK,1,-1,-0.0201
Astro,all_secretome_linked,PCSK1,2,-1,0.2409
Astro,all_secretome_linked,ERAP1,2,-1,-0.067
Astro,all_secretome_linked,ERAP2,3,1,0.058
Astro,all_secretome_linked,LNPEP,2,-1,0.0639
Astro,all_secretome_linked,ST8SIA4,2,1,0.0703
Astro,all_secretome_linked,PAM,2,1,0.1798
Astro,all_secretome_linked,TSLP,2,1,-0.2759
Astro,all_secretome_linked,LOX,1,1,0.0007
Astro,all_secretome_linked,FBN2,11,-1,0.0343
Astro,all_secretome_linked,ADAMTS19,2,-1,0.3319
Astro,all_secretome_linked,GDF9,1,-1,0.0333
Astro,all_secretome_linked,LEAP2,1,1,-0.458
Astro,all_secretome_linked,FSTL4,1,-1,0.3462
Astro,all_secretome_linked,CXCL14,1,-1,0.3768
Astro,all_secretome_linked,TGFBI,7,1,0.0457
Astro,all_secretome_linked,SPOCK1,66,-1,0.0212
Astro,all_secretome_linked,MZB1,1,-1,0.3841
Astro,all_secretome_linked,NRG2,33,-1,0.0061
Astro,all_secretome_linked,HBEGF,1,1,0.0973
Astro,all_secretome_linked,CD14,2,-1,0.1178
Astro,all_secretome_linked,PCDHA1,1,1,0.4317
Astro,all_secretome_linked,PCDHA6,1,1,0.1074
Astro,all_secretome_linked,PCDHA10,1,1,0.2124
Astro,all_secretome_linked,PCDH12,2,1,-0.3884
Astro,all_secretome_linked,NDFIP1,2,1,-0.0579
Astro,all_secretome_linked,FGF1,19,1,0.0196
Astro,all_secretome_linked,SPINK9,2,-1,-0.0341
Astro,all_secretome_linked,PCYOX1L,2,1,0.1611
Astro,all_secretome_linked,ARSI,13,1,-0.016
Astro,all_secretome_linked,CD74,3,1,0.2815
Astro,all_secretome_linked,GPX3,2,1,-0.0183
Astro,all_secretome_linked,SPARC,2,1,0.2946
Astro,all_secretome_linked,TIMD4,5,-1,0.0828
Astro,all_secretome_linked,C1QTNF2,1,-1,-0.1584
Astro,all_secretome_linked,SLIT3,92,-1,0.0743
Astro,all_secretome_linked,STC2,3,1,0.2275
Astro,all_secretome_linked,FGFR4,2,1,0.295
Astro,all_secretome_linked,ADAMTS2,1,-1,0.2994
Astro,all_secretome_linked,SERPINB1,1,1,0.0194
Astro,all_secretome_linked,F13A1,1,1,-0.5497
Astro,all_secretome_linked,LY86,2,-1,0.4026
Astro,all_secretome_linked,BMP6,2,1,-0.1818
Astro,all_secretome_linked,EDN1,3,-1,-0.1056
Astro,all_secretome_linked,GFOD1,24,-1,0.0718
Astro,all_secretome_linked,KIAA0319,18,-1,-0.0721
Astro,all_secretome_linked,SCGN,1,1,0.0739
Astro,all_secretome_linked,GABBR1,2,-1,-0.2484
Astro,all_secretome_linked,HLA-E,2,1,0.1732
Astro,all_secretome_linked,DDR1,4,1,0.1132
Astro,all_secretome_linked,HCG22,1,-1,-0.1029
Astro,all_secretome_linked,BAG6,1,1,-0.0012
Astro,all_secretome_linked,APOM,1,1,-0.0012
Astro,all_secretome_linked,LY6G5C,1,1,0.0291
Astro,all_secretome_linked,HSPA1A,1,1,0.0387
Astro,all_secretome_linked,C2,8,1,0.0436
Astro,all_secretome_linked,C4A,1,1,0.34
Astro,all_secretome_linked,C4B,1,1,0.8978
Astro,all_secretome_linked,TNXB,11,1,-0.0109
Astro,all_secretome_linked,EGFL8,1,1,0.2048
Astro,all_secretome_linked,COL11A2,3,1,-0.0792
Astro,all_secretome_linked,CUTA,2,1,-0.0233
Astro,all_secretome_linked,SCUBE3,1,-1,0.3486
Astro,all_secretome_linked,PI16,5,1,0.2605
Astro,all_secretome_linked,TREM2,3,1,-0.0845
Astro,all_secretome_linked,PTK7,1,-1,0.0888
Astro,all_secretome_linked,VEGFA,1,-1,-0.148
Astro,all_secretome_linked,HSP90AB1,1,1,0.0172
Astro,all_secretome_linked,ENPP5,2,1,0.0648
Astro,all_secretome_linked,PLA2G7,2,-1,0.1787
Astro,all_secretome_linked,COL21A1,15,1,0.1768
Astro,all_secretome_linked,EYS,16,1,-0.0235
Astro,all_secretome_linked,COL19A1,3,-1,0.1852
Astro,all_secretome_linked,COL9A1,5,-1,0.02
Astro,all_secretome_linked,COL12A1,5,1,0.0402
Astro,all_secretome_linked,PRSS35,1,-1,-0.1127
Astro,all_secretome_linked,CD164,2,1,0.0036
Astro,all_secretome_linked,METTL24,1,1,-0.0164
Astro,all_secretome_linked,LAMA4,2,1,0.0557
Astro,all_secretome_linked,SMPDL3A,1,-1,-0.0732
Astro,all_secretome_linked,RSPO3,1,1,-0.3294
Astro,all_secretome_linked,LAMA2,1,1,0.1562
Astro,all_secretome_linked,ENPP3,2,-1,-0.0078
Astro,all_secretome_linked,ENPP1,1,1,0.2134
Astro,all_secretome_linked,CCN2,1,1,-0.0068
Astro,all_secretome_linked,FUCA2,1,1,0.2198
Astro,all_secretome_linked,RAET1E,3,1,0.0961
Astro,all_secretome_linked,ULBP2,2,1,-0.0256
Astro,all_secretome_linked,VIP,2,-1,0.258
Astro,all_secretome_linked,FNDC1,1,-1,0.144
Astro,all_secretome_linked,LPA,2,1,0.2746
Astro,all_secretome_linked,RNASET2,1,1,0.1916
Astro,all_secretome_linked,SMOC2,35,1,-0.0738
Astro,all_secretome_linked,THBS2,2,1,0.0027
Astro,all_secretome_linked,C6orf120,2,-1,-0.1298
Astro,all_secretome_linked,FAM20C,1,1,0.0253
Astro,all_secretome_linked,PDGFA,2,1,0.0153
Astro,all_secretome_linked,NXPH1,48,1,0.003
Astro,all_secretome_linked,THSD7A,1,-1,-0.1034
Astro,all_secretome_linked,VWDE,1,-1,0.0269
Astro,all_secretome_linked,SOSTDC1,14,1,0.0193
Astro,all_secretome_linked,CCDC126,1,-1,0.0075
Astro,all_secretome_linked,NPY,3,-1,0.1259
Astro,all_secretome_linked,HNRNPA2B1,1,1,0.222
Astro,all_secretome_linked,BMPER,1,-1,-0.0514
Astro,all_secretome_linked,AOAH,2,1,-0.0927
Astro,all_secretome_linked,EPDR1,27,1,-0.0779
Astro,all_secretome_linked,SFRP4,1,1,0.1826
Astro,all_secretome_linked,INHBA,3,1,-0.0483
Astro,all_secretome_linked,AEBP1,6,1,0.382
Astro,all_secretome_linked,PPIA,1,1,0.055
Astro,all_secretome_linked,IGFBP3,3,1,-0.0991
Astro,all_secretome_linked,VWC2,1,-1,0.1121
Astro,all_secretome_linked,ZPBP,1,1,-0.0915
Astro,all_secretome_linked,VSTM2A,2,-1,0.0111
Astro,all_secretome_linked,EGFR,44,-1,-0.0631
Astro,all_secretome_linked,STX1A,4,-1,-0.0538
