celltype,gene,in_secretome,full_lfc,full_padj,pmiadj_lfc,pmiadj_padj,exploratory,loo_n,loo_sign_stable_frac,loo_max_padj,loo_grp_fallback
Endo,LAMA4,True,-1.14,0.04922122152242305,-1.152,0.3064823586252469,False,16,1.0,0.3054,0
Endo,PLAT,True,-1.764,0.009204717437054978,-1.935,0.13465829743676067,False,16,1.0,0.1637,0
Endo,PRSS3,True,-2.504,0.00022000688231063335,-2.622,0.06302740319742958,False,16,1.0,0.0196,0
Endo,MMP28,True,-1.701,0.0957307176281496,-2.276,0.13465829743676067,False,16,1.0,0.4,0
NSC,CNTN2,True,-1.989,0.04559539387528203,-0.254,0.9990162536268223,True,12,1.0,0.268,1
NSC,AGT,True,1.624,0.09415802459282159,1.305,0.9990162536268223,True,12,1.0,0.5295,1
NSC,ALCAM,True,-1.139,0.010779521539158605,-1.269,0.9990162536268223,True,12,1.0,0.4017,1
NSC,SPARCL1,True,1.417,0.05454785102220649,0.284,0.9990162536268223,True,12,1.0,0.5083,1
NSC,HHIP,True,-1.869,0.005753826738483946,-0.897,0.9990162536268223,True,12,1.0,0.1115,1
NSC,CPE,True,1.549,0.005428035680295304,0.88,0.9990162536268223,True,12,1.0,0.1599,1
NSC,SCRG1,True,2.118,0.019830747661649186,2.39,0.9990162536268223,True,12,1.0,0.1428,1
NSC,HSP90AB1,True,1.293,0.09733136203299116,0.65,0.9990162536268223,True,12,1.0,0.5341,1
NSC,COL21A1,True,2.284,0.09716113960846354,1.528,0.9990162536268223,True,12,1.0,0.1992,1
NSC,CLU,True,1.82,0.010779521539158605,0.804,0.9990162536268223,True,12,1.0,0.1115,1
NSC,PTPRJ,True,-1.968,0.07916715796307447,-0.786,0.9990162536268223,True,12,1.0,0.5508,1
NSC,JAM3,True,-1.129,0.08684065620886551,-0.944,0.9990162536268223,True,12,1.0,0.4282,1
NSC,B2M,True,2.303,0.06166076935282091,1.778,0.9990162536268223,True,12,1.0,0.2678,1
NSC,GLDN,True,-2.027,0.005428035680295304,-1.402,0.9990162536268223,True,12,1.0,0.2346,1
NSC,METRN,True,1.332,0.0739255505796707,0.481,0.9990162536268223,True,12,1.0,0.3747,1
NSC,APOE,True,2.317,0.0052600396179246405,0.6,0.9990162536268223,True,12,1.0,0.0376,1
NSC,CST3,True,2.414,0.00042629687335252946,1.206,0.9990162536268223,True,12,1.0,0.0119,1
