cohort	celltype	perm	labels	n_sig_fdr005	n_sig_fdr01	n_sig_secretome_fdr005	n_sig_secretome_fdr01
GSE278576	Astro	0	011011001111111001101110011011	0	6	0	0
GSE278576	Astro	1	101111011111110101101000101110	0	0	0	0
GSE278576	Astro	2	101111100011001101101111111100	0	0	0	0
GSE278576	Astro	3	010010101110111111110111101100	0	0	0	0
GSE278576	Astro	4	001111010110111011011100101111	1	1	1	1
GSE278576	Astro	5	101111111100111000101110100111	1	1	0	0
GSE278576	Astro	6	011101111001011101101000111111	0	0	0	0
GSE278576	Astro	7	110111000101110011011011011111	5	9	0	2
GSE278576	Astro	8	111111011010011001110110110110	0	0	0	0
GSE278576	Astro	9	000111011111100101010110111111	0	0	0	0
GSE278576	Astro	10	011000011101101100011111111111	2	2	0	0
GSE278576	Astro	11	111011010011001101011111101110	0	0	0	0
GSE278576	Astro	12	011111111100010110011011010111	0	0	0	0
GSE278576	Astro	13	111101100110111010011111010101	2	2	0	0
GSE278576	Astro	14	110110111111101000101100110111	0	0	0	0
GSE278576	Astro	15	110001110101011111101001110111	0	0	0	0
GSE278576	Astro	16	111111010101010110001111101110	0	0	0	0
GSE278576	Astro	17	011001111001111111000101011111	0	0	0	0
GSE278576	Astro	18	101101111101101001111010110011	0	0	0	0
GSE278576	Astro	19	110111101101101101000011111101	0	0	0	0
GSE278576	Astro	20	111101101111011101011100100110	0	0	0	0
GSE278576	Astro	21	011111110111001111000101011110	0	0	0	0
GSE278576	Astro	22	000101111111001101011101111011	0	0	0	0
GSE278576	Astro	23	110111001001101101010111111011	1	1	1	1
GSE278576	Astro	24	011100101110100101111111001111	0	0	0	0
GSE278576	Astro	25	011011111100110011110111101100	0	0	0	0
GSE278576	Astro	26	111010101001111001110111011110	0	0	0	0
GSE278576	Astro	27	101101100101110110111001101111	0	0	0	0
GSE278576	Astro	28	110011111010010001111101101111	2	3	0	0
GSE278576	Astro	29	111111101110101000111010010111	0	0	0	0
GSE278576	Astro	30	111011110111011011010000101111	0	0	0	0
GSE278576	Astro	31	101111101111001101011110101100	0	0	0	0
GSE278576	Astro	32	111001110101011001011101011111	4	4	1	1
GSE278576	Astro	33	101111111111000110011001011011	0	0	0	0
GSE278576	Astro	34	111101010101110110101111100110	0	0	0	0
GSE278576	Astro	35	110010110110010001110111111111	0	0	0	0
GSE278576	Astro	36	111100111101110111001010110110	2	2	0	0
GSE278576	Astro	37	111011101010101110111110010011	0	0	0	0
GSE278576	Astro	38	111010000000111111111111111010	15	39	2	4
GSE278576	Astro	39	111011110011110000111100111011	0	2	0	0
GSE278576	Astro	40	110111101111100111101001100101	0	0	0	0
GSE278576	Astro	41	100011101011011100111111110011	0	0	0	0
GSE278576	Astro	42	111011101011101101101001011011	0	0	0	0
GSE278576	Astro	43	110010000111101111100111011111	0	0	0	0
GSE278576	Astro	44	011111001010111101110111110100	5	11	1	1
GSE278576	Astro	45	111101011101100110100101011111	0	0	0	0
GSE278576	Astro	46	101110101101111001011011111001	0	0	0	0
GSE278576	Astro	47	011011011011010110111111010011	0	0	0	0
GSE278576	Astro	48	111100011100110001111101101111	1	1	0	0
GSE278576	Astro	49	101010011011110111101100111011	0	0	0	0
GSE278576	Astro	50	001011111001011101101011111011	0	0	0	0
GSE278576	Astro	51	110111101111001111100101010101	0	0	0	0
GSE278576	Astro	52	101100101101001110110111101111	0	0	0	0
GSE278576	Astro	53	111111111111010011001111000100	2	3	0	0
GSE278576	Astro	54	111010101110010011111110110110	1	1	0	0
GSE278576	Astro	55	111111100101101010110111001110	0	0	0	0
GSE278576	Astro	56	011101001000001011111111111111	394	705	31	49
GSE278576	Astro	57	011100101111111110001001011111	0	0	0	0
GSE278576	Astro	58	101100100111110101011111101110	0	0	0	0
GSE278576	Astro	59	011110001111101100111001111011	2	2	0	0
GSE278576	Astro	60	101111111110011010111011010010	0	0	0	0
GSE278576	Astro	61	110010011110011111011101110110	11	85	0	7
GSE278576	Astro	62	010011101111111011100111111000	0	0	0	0
GSE278576	Astro	63	101101111011110010011100011111	0	0	0	0
GSE278576	Astro	64	111101011111101001110110010110	0	0	0	0
GSE278576	Astro	65	011011000001111111011111111100	49	110	5	9
GSE278576	Astro	66	001111111110001001101111001111	0	0	0	0
GSE278576	Astro	67	101110110011001101101111101011	0	0	0	0
GSE278576	Astro	68	001111100101101111010111110011	0	0	0	0
GSE278576	Astro	69	001001111110111010011101111101	2	4	2	2
GSE278576	Astro	70	011010101010111001101111110111	6	9	1	1
GSE278576	Astro	71	001110011100011110110011111111	0	0	0	0
GSE278576	Astro	72	110111110011101100111100101110	0	0	0	0
GSE278576	Astro	73	101011101100101111110101011110	0	0	0	0
GSE278576	Astro	74	111101100011110110111001011011	0	0	0	0
GSE278576	Astro	75	110100011110001111111111011001	0	0	0	0
GSE278576	Astro	76	101111100011110111100111111000	1	1	0	0
GSE278576	Astro	77	110100110110101101101111011110	0	0	0	0
GSE278576	Astro	78	111111010101110100111010110110	0	0	0	0
GSE278576	Astro	79	000110101110111100111111101101	0	2	0	0
GSE278576	Astro	80	111110111111001111100000110101	0	0	0	0
GSE278576	Astro	81	110011111110110110000101101111	0	0	0	0
GSE278576	Astro	82	110100011110111010110101011111	1	1	0	0
GSE278576	Astro	83	110111001101110011001110111101	4	6	1	1
GSE278576	Astro	84	110111011011010100111110110011	0	0	0	0
GSE278576	Astro	85	110011001111000011111101111011	3	7	1	2
GSE278576	Astro	86	010011111111100110111101100011	0	0	0	0
GSE278576	Astro	87	111011011111101100110101101100	1	1	1	1
GSE278576	Astro	88	011110101010010111111110101110	0	0	0	0
GSE278576	Astro	89	110011111010011101001111011110	0	0	0	0
GSE278576	Astro	90	001110111010101111000011111111	0	0	0	0
GSE278576	Astro	91	110110110111011100111111001010	0	0	0	0
GSE278576	Astro	92	011100101101011001111011101111	0	0	0	0
GSE278576	Astro	93	101011011001110011101011110111	12	47	1	3
GSE278576	Astro	94	111100101111101101011101010011	0	0	0	0
GSE278576	Astro	95	111111101010101110111101010001	0	0	0	0
GSE278576	Astro	96	101011101110111100111011111000	1	1	1	1
GSE278576	Astro	97	100010011011110111111111000111	257	982	22	77
GSE278576	Astro	98	101110011100011011010111111101	0	1	0	0
GSE278576	Astro	99	100000001111110101111111111011	1	5	0	1
GSE278576	Micro	0	100011111011110001010101111111	0	0	0	0
GSE278576	Micro	1	101101100111101001101110111011	0	0	0	0
GSE278576	Micro	2	111001011101011110111010110011	0	0	0	0
GSE278576	Micro	3	010011111101101110001101110111	0	3	0	0
GSE278576	Micro	4	101111000111101111100011101110	0	0	0	0
GSE278576	Micro	5	100111101010110111110101101011	0	0	0	0
GSE278576	Micro	6	011110111111100110110100101101	197	362	15	24
GSE278576	Micro	7	101100011111101111100100111101	0	0	0	0
GSE278576	Micro	8	110111010111111010100111011001	0	0	0	0
GSE278576	Micro	9	100100111111001111111101011010	10	12	1	1
GSE278576	Micro	10	100111011001111011100111010111	0	0	0	0
GSE278576	Micro	11	011111101011001100101111110101	1	4	0	0
GSE278576	Micro	12	101111100011111010110011100111	1	1	0	0
GSE278576	Micro	13	101010001011011011101011111111	115	332	7	19
GSE278576	Micro	14	110011101101111110000111010111	1	2	0	0
GSE278576	Micro	15	101110001101110111110111110010	0	0	0	0
GSE278576	Micro	16	110110110111010111100011011110	0	0	0	0
GSE278576	Micro	17	111111111001101110101010101010	0	0	0	0
GSE278576	Micro	18	111100101100100111110111011011	0	0	0	0
GSE278576	Micro	19	111111101111101111110000010100	2	3	0	0
GSE278576	Micro	20	111111100011011110101101101001	0	0	0	0
GSE278576	Micro	21	111001111111011000111011110001	0	0	0	0
GSE278576	Micro	22	011100111001010011101111111011	1	1	0	0
GSE278576	Micro	23	110111101111011001101011001011	2	4	0	0
GSE278576	Micro	24	111110011010111110101100011011	2	2	0	0
GSE278576	Micro	25	111010100110110100101111111110	30	55	4	4
GSE278576	Micro	26	111000111011111100110101101011	6	12	1	2
GSE278576	Micro	27	101110110110110110101111101001	0	0	0	0
GSE278576	Micro	28	111001110010111101100111110101	0	0	0	0
GSE278576	Micro	29	001010101001001111111110111111	20	57	1	3
GSE278576	Micro	30	011111010110110111100011010111	0	0	0	0
GSE278576	Micro	31	001010011101111100011011111111	6	8	0	0
GSE278576	Micro	32	011011110100111101101111110100	0	0	0	0
GSE278576	Micro	33	111011110011010110110111101010	0	0	0	0
GSE278576	Micro	34	011101011011110100111110110110	12	18	1	1
GSE278576	Micro	35	001111101010101110011110110111	3	3	0	0
GSE278576	Micro	36	111101111101001011111001011001	0	0	0	0
GSE278576	Micro	37	110001111110111011100011010111	0	0	0	0
GSE278576	Micro	38	100111101111001010001011111111	0	0	0	0
GSE278576	Micro	39	100101111110111111010011010011	0	0	0	0
GSE278576	Micro	40	111100111111110001100011011101	1	3	0	0
GSE278576	Micro	41	111111101110101010001000111111	1	1	0	0
GSE278576	Micro	42	110110011011110101101101011101	4	4	0	0
GSE278576	Micro	43	110111110001001110111010011111	0	0	0	0
GSE278576	Micro	44	101111111010011000101101101111	0	0	0	0
GSE278576	Micro	45	010011111111011110010010101111	0	0	0	0
GSE278576	Micro	46	111001100101111111110001110011	2	3	0	0
GSE278576	Micro	47	100101111001111111110011001110	0	0	0	0
GSE278576	Micro	48	001111111010101001011101111011	0	0	0	0
GSE278576	Micro	49	010110001011111011101110111101	3	8	0	0
GSE278576	Micro	50	001011100011010110111111110111	37	84	3	6
GSE278576	Micro	51	110101001101010111011111110101	1	1	0	0
GSE278576	Micro	52	110001011110110110011111101110	1	3	0	1
GSE278576	Micro	53	110110101111111100101010010111	0	0	0	0
GSE278576	Micro	54	010101111111111110100110110010	0	0	0	0
GSE278576	Micro	55	011111101111001110111111001000	0	0	0	0
GSE278576	Micro	56	111101010010111101010011111101	0	0	0	0
GSE278576	Micro	57	101011001001011011111111110110	442	735	30	49
GSE278576	Micro	58	111111111001011100100011111100	0	0	0	0
GSE278576	Micro	59	111010101110101111011110110001	0	0	0	0
GSE278576	Micro	60	101000010010011111111111111011	0	0	0	0
GSE278576	Micro	61	100110010101111110011011111101	0	2	0	0
GSE278576	Micro	62	111111001110111100100100111011	1	1	0	0
GSE278576	Micro	63	101000011001101111001111111111	3	5	1	1
GSE278576	Micro	64	001011011111011011011111001011	0	1	0	0
GSE278576	Micro	65	111011001101111011001100111011	577	844	29	47
GSE278576	Micro	66	100011011111101110011011011110	0	0	0	0
GSE278576	Micro	67	101010101110101111101101111010	1	2	1	1
GSE278576	Micro	68	011111010100011001111111011011	0	0	0	0
GSE278576	Micro	69	101101100111110100010111101111	43	81	3	6
GSE278576	Micro	70	100111100001010111111111101110	0	0	0	0
GSE278576	Micro	71	111101011101001010011101011111	0	0	0	0
GSE278576	Micro	72	011111101011110010111011101010	15	49	3	5
GSE278576	Micro	73	101111110111100011111001010101	0	0	0	0
GSE278576	Micro	74	101011111111110001101011011001	2	17	0	0
GSE278576	Micro	75	011111101011110100010001111111	11	22	0	3
GSE278576	Micro	76	011101011100111100111001101111	0	0	0	0
GSE278576	Micro	77	110011111111111100100100011011	12	21	0	0
GSE278576	Micro	78	111110001011101111100100011111	0	0	0	0
GSE278576	Micro	79	100010111111001011110101101111	2	2	0	0
GSE278576	Micro	80	110110110111110110011111000011	3	3	0	0
GSE278576	Micro	81	010111110011011100011101111110	0	0	0	0
GSE278576	Micro	82	111110110111011011100100010111	1	1	1	1
GSE278576	Micro	83	000101111011111101110111011001	0	1	0	1
GSE278576	Micro	84	001110001011101110101111101111	128	251	9	17
GSE278576	Micro	85	111101011110000101100111011111	1	1	0	0
GSE278576	Micro	86	100110100110100111111101110111	0	0	0	0
GSE278576	Micro	87	100011110111111001100011110111	0	0	0	0
GSE278576	Micro	88	111110110111101001101101010101	0	0	0	0
GSE278576	Micro	89	100100101100011011111111111110	33	56	2	3
GSE278576	Micro	90	101001111111111011000110111001	93	166	4	5
GSE278576	Micro	91	111111001100100111101101001111	1	1	0	0
GSE278576	Micro	92	100111101001111110011110011110	0	0	0	0
GSE278576	Micro	93	101111100111010111101100011101	34	61	4	8
GSE278576	Micro	94	011001111111001101001011101111	0	1	0	0
GSE278576	Micro	95	110110101011111101110111100100	0	0	0	0
GSE278576	Micro	96	111000111110011101111010101011	0	1	0	0
GSE278576	Micro	97	011010110110100111111111101001	0	0	0	0
GSE278576	Micro	98	110111001011100111110101100111	5	6	0	1
GSE278576	Micro	99	011101110101111110110011010011	0	0	0	0
GSE278576	Oligo	0	101010101111011011110011101110	0	0	0	0
GSE278576	Oligo	1	101011110111001000110110111111	0	0	0	0
GSE278576	Oligo	2	111010101111110010101001011111	0	0	0	0
GSE278576	Oligo	3	111101111010010100011111011101	1	1	0	0
GSE278576	Oligo	4	011011100011000101111111011111	0	11	0	0
GSE278576	Oligo	5	101101110111011100101110111001	1928	3448	78	142
GSE278576	Oligo	6	111011111110110111011010000011	0	0	0	0
GSE278576	Oligo	7	001101111101011111110000110111	1	1	0	0
GSE278576	Oligo	8	101110001001011011111111110011	4	7	3	4
GSE278576	Oligo	9	111001111101100101001010111111	0	0	0	0
GSE278576	Oligo	10	110110100101110101111110101101	0	0	0	0
GSE278576	Oligo	11	111111100101111110110000111001	7	8	0	0
GSE278576	Oligo	12	010111110011001100111110110111	473	1248	15	59
GSE278576	Oligo	13	010110111001101101001101111111	1	2	1	1
GSE278576	Oligo	14	110110011111111100001101101011	1	1	1	1
GSE278576	Oligo	15	111010010110111000111110101111	1	1	0	0
GSE278576	Oligo	16	001101011110101110100111111110	0	0	0	0
GSE278576	Oligo	17	001000111101111111110101110110	1	1	0	0
GSE278576	Oligo	18	000011110011011011011101111111	0	0	0	0
GSE278576	Oligo	19	011111011011100111110100110101	20	32	0	0
GSE278576	Oligo	20	111110101001111010001110110111	0	1	0	0
GSE278576	Oligo	21	111110001011011110110111100110	23	39	4	5
GSE278576	Oligo	22	111111111111000101100111101000	3	6	0	0
GSE278576	Oligo	23	011011001111010100001111111111	4	6	1	2
GSE278576	Oligo	24	110101101010111111101111000101	0	0	0	0
GSE278576	Oligo	25	010110100111011011100101111111	0	0	0	0
GSE278576	Oligo	26	011101010111110111011000111110	3	13	0	0
GSE278576	Oligo	27	101111000100101010110111111111	1	5	0	1
GSE278576	Oligo	28	011111111100001111010001111101	0	0	0	0
GSE278576	Oligo	29	010100110101111111111100111010	0	0	0	0
GSE278576	Oligo	30	110011110011101111111010011010	0	0	0	0
GSE278576	Oligo	31	011111101011110100010111110110	2	2	0	0
GSE278576	Oligo	32	010101101101110100110110111111	0	0	0	0
GSE278576	Oligo	33	111110010110011111101110110100	3	3	0	0
GSE278576	Oligo	34	001110011101100111111111001101	51	97	4	7
GSE278576	Oligo	35	110111111110001010101000111111	27	51	4	7
GSE278576	Oligo	36	011011111101110011110100011011	0	0	0	0
GSE278576	Oligo	37	011010101101110111111101101010	0	0	0	0
GSE278576	Oligo	38	100010111011110110111100110111	0	0	0	0
GSE278576	Oligo	39	111101011001011110111101000111	1	5	0	0
GSE278576	Oligo	40	111110101101111100100111110100	3	4	1	1
GSE278576	Oligo	41	110111011111100001001111111100	1	2	0	0
GSE278576	Oligo	42	111110111100100111101001101011	0	0	0	0
GSE278576	Oligo	43	011011110101111111001110101001	13	39	1	2
GSE278576	Oligo	44	111011111100101101110101110001	1	1	0	0
GSE278576	Oligo	45	010101101100111010110111111110	0	0	0	0
GSE278576	Oligo	46	111111011000111011100111110001	0	2	0	0
GSE278576	Oligo	47	000100010111111101111011111011	0	2	0	0
GSE278576	Oligo	48	111111111101100101010111010010	669	1499	23	56
GSE278576	Oligo	49	110111100111001111011000111011	0	0	0	0
GSE278576	Oligo	50	110110111111010110000111011011	2	2	0	0
GSE278576	Oligo	51	010111011011110011011001111101	0	2	0	0
GSE278576	Oligo	52	111110100111101000101110111101	1	2	1	1
GSE278576	Oligo	53	111001110101110110111001111100	30	178	4	8
GSE278576	Oligo	54	101100001110011110110101111111	15	21	3	3
GSE278576	Oligo	55	100101100101110111111110101011	1	2	0	0
GSE278576	Oligo	56	111101110001111110011000110111	0	5	0	2
GSE278576	Oligo	57	101101110111111110111001011000	168	435	11	29
GSE278576	Oligo	58	011110011101010101101110110111	0	1	0	0
GSE278576	Oligo	59	111101000100111001111111011101	2	2	1	1
GSE278576	Oligo	60	001111011011100111001101101111	28	55	1	2
GSE278576	Oligo	61	100111100101111001111011110101	0	0	0	0
GSE278576	Oligo	62	110011101011111111100100001111	0	1	0	0
GSE278576	Oligo	63	101111101111001110001100111110	0	0	0	0
GSE278576	Oligo	64	110100000111011011111101101111	1	1	0	0
GSE278576	Oligo	65	111111011001110010001010111111	11	15	0	2
GSE278576	Oligo	66	010000001111011011011111111111	34	46	2	4
GSE278576	Oligo	67	001110101011110100111111110011	0	0	0	0
GSE278576	Oligo	68	101001001000111111001111111111	42	94	6	14
GSE278576	Oligo	69	110011101111111011101101000101	0	0	0	0
GSE278576	Oligo	70	101010111111110100110110011101	0	4	0	0
GSE278576	Oligo	71	110111110011111011110100111000	0	0	0	0
GSE278576	Oligo	72	110101101000101111010110111111	0	0	0	0
GSE278576	Oligo	73	110111011010110110011110011011	0	0	0	0
GSE278576	Oligo	74	110111011101001001110111001111	3	13	0	0
GSE278576	Oligo	75	011010001101111101010111111011	0	0	0	0
GSE278576	Oligo	76	111100011101111001011011101110	0	0	0	0
GSE278576	Oligo	77	110111111000111001110110100111	0	83	0	5
GSE278576	Oligo	78	011110101100110010011110111111	0	1	0	0
GSE278576	Oligo	79	111100110011000101110111111101	1	1	0	0
GSE278576	Oligo	80	001111010110101110110111110011	0	0	0	0
GSE278576	Oligo	81	110011101011110111111001010101	0	1	0	0
GSE278576	Oligo	82	111111111111011000100100111010	32	109	3	5
GSE278576	Oligo	83	101111101101100101110110101101	2	2	0	0
GSE278576	Oligo	84	100101101101011111111111010001	0	0	0	0
GSE278576	Oligo	85	011110001111101101111010110110	2	12	0	1
GSE278576	Oligo	86	101111100000010111101111110111	1	2	0	0
GSE278576	Oligo	87	111011101100111111101001100101	0	0	0	0
GSE278576	Oligo	88	101011111101010011100111111010	10	23	0	2
GSE278576	Oligo	89	101111010100111100101110101111	0	4	0	2
GSE278576	Oligo	90	011110010101011110110110111101	1	2	0	0
GSE278576	Oligo	91	110111101110101101110001111001	0	0	0	0
GSE278576	Oligo	92	111010110010011101111101110110	1	1	0	0
GSE278576	Oligo	93	111011111011010011101100110101	2	2	0	0
GSE278576	Oligo	94	100011101110010111101111101011	0	1	0	0
GSE278576	Oligo	95	110101011111100001101111111100	2	6	0	1
GSE278576	Oligo	96	100111011010101111110010111110	0	0	0	0
GSE278576	Oligo	97	101011101010111101101101011110	1	1	0	0
GSE278576	Oligo	98	111111010111000100111100101111	3	5	0	1
GSE278576	Oligo	99	110111111101011100101010011011	0	0	0	0
GSE278576	OPC	0	011111110111100101101100100111	0	0	0	0
GSE278576	OPC	1	001011101111011111000111111100	0	0	0	0
GSE278576	OPC	2	111010110111010101011100111110	1	4	1	1
GSE278576	OPC	3	110011100110001111111011011101	2	2	0	0
GSE278576	OPC	4	110010101101011011111011011101	1	1	0	0
GSE278576	OPC	5	101110111001101111100111000111	0	1	0	0
GSE278576	OPC	6	000011101100111111101101111110	1	1	0	0
GSE278576	OPC	7	011111010110110001101111101110	0	0	0	0
GSE278576	OPC	8	111101000111111110111000011110	0	0	0	0
GSE278576	OPC	9	111010100111011111011001111010	0	0	0	0
GSE278576	OPC	10	000011011101101111111010111110	8	11	0	0
GSE278576	OPC	11	111010111111001110110000011111	0	0	0	0
GSE278576	OPC	12	001011111111110001110101100111	0	0	0	0
GSE278576	OPC	13	111011010110111110111110000011	0	0	0	0
GSE278576	OPC	14	111000111001001111011110111110	1	1	0	0
GSE278576	OPC	15	111111110110011110000110110101	0	0	0	0
GSE278576	OPC	16	111100110010111101110010111110	1	1	0	0
GSE278576	OPC	17	101011101111001111010010101111	0	0	0	0
GSE278576	OPC	18	011011010111011110100100111111	0	0	0	0
GSE278576	OPC	19	011110010111001111110101011110	4	19	0	2
GSE278576	OPC	20	101100110111111101101010010111	0	0	0	0
GSE278576	OPC	21	011111110111111011110000010011	0	0	0	0
GSE278576	OPC	22	110011111001111001001111001111	1	1	0	0
GSE278576	OPC	23	011101111111010010111101110100	0	0	0	0
GSE278576	OPC	24	101111010110001000111110111111	0	0	0	0
GSE278576	OPC	25	110011101010111010111111010011	0	0	0	0
GSE278576	OPC	26	110000111011111111011010110101	1	1	0	0
GSE278576	OPC	27	001101101101111001101011111011	1	1	0	0
GSE278576	OPC	28	111111000011111100110100101111	0	0	0	0
GSE278576	OPC	29	111011110011001110111010011110	0	0	0	0
GSE278576	OPC	30	000111111011011101100101111011	0	0	0	0
GSE278576	OPC	31	110110101110001011111001101111	17	29	2	3
GSE278576	OPC	32	011110111011100101010111110011	0	0	0	0
GSE278576	OPC	33	111100001010101111010110111111	4	11	0	2
GSE278576	OPC	34	011111111010111010110100111010	0	0	0	0
GSE278576	OPC	35	100110110000101111111010111111	0	8	0	1
GSE278576	OPC	36	111101111110010000101011110111	0	0	0	0
GSE278576	OPC	37	110011011011110101100110011111	0	0	0	0
GSE278576	OPC	38	111011100111011000111011111100	0	0	0	0
GSE278576	OPC	39	100010111111001111011100111101	0	0	0	0
GSE278576	OPC	40	111100111110000011111101101101	0	0	0	0
GSE278576	OPC	41	100100111110111001111100101111	1	1	1	1
GSE278576	OPC	42	101110011101100110011111001111	0	1	0	0
GSE278576	OPC	43	101110001111111010001111111100	0	64	0	3
GSE278576	OPC	44	100101001111110011111100111110	1	11	0	0
GSE278576	OPC	45	111000000011111111111011101101	2	6	1	2
GSE278576	OPC	46	001110010110101011111111110110	6	9	0	0
GSE278576	OPC	47	001110111101111100111100101011	1	2	1	1
GSE278576	OPC	48	111111011110001000110011011111	0	0	0	0
GSE278576	OPC	49	101110011100111110010011110111	0	0	0	0
GSE278576	OPC	50	000011111111100101110011111011	1	6	0	0
GSE278576	OPC	51	111011111111110010100001100111	0	0	0	0
GSE278576	OPC	52	111011011011100101111111000101	0	0	0	0
GSE278576	OPC	53	101011111100111001100101111011	10	17	2	2
GSE278576	OPC	54	110111111101011111000011001011	0	0	0	0
GSE278576	OPC	55	101111111111110001001010110011	0	0	0	0
GSE278576	OPC	56	011001011111110011000111111011	0	0	0	0
GSE278576	OPC	57	111110111111101110001010110100	0	0	0	0
GSE278576	OPC	58	101111010101101100111011110101	0	0	0	0
GSE278576	OPC	59	101111110000111100101110101111	0	0	0	0
GSE278576	OPC	60	101101101101011100111011101101	0	0	0	0
GSE278576	OPC	61	011111010001110011100111111101	0	0	0	0
GSE278576	OPC	62	111110101111101110101101101000	0	0	0	0
GSE278576	OPC	63	010111110111101110111001101010	0	0	0	0
GSE278576	OPC	64	010001111000011100111111111111	1	1	0	0
GSE278576	OPC	65	011011101111001011011111001011	0	0	0	0
GSE278576	OPC	66	110111111110101010111010100101	3	33	0	2
GSE278576	OPC	67	101110001101100111111011111010	3	3	1	1
GSE278576	OPC	68	001110111101011100011111010111	0	0	0	0
GSE278576	OPC	69	011101000111100110111111110011	0	0	0	0
GSE278576	OPC	70	111101111100100011111011101001	0	0	0	0
GSE278576	OPC	71	111010110101101111010101010111	2	4	0	1
GSE278576	OPC	72	111001101110100101111100111011	0	0	0	0
GSE278576	OPC	73	111001111001011111011110001011	1	1	0	0
GSE278576	OPC	74	111101001110101111100110111001	0	0	0	0
GSE278576	OPC	75	100011010101111011011111110101	5	5	0	0
GSE278576	OPC	76	011111110001101110101011110011	0	0	0	0
GSE278576	OPC	77	110011101110010110010111111011	0	0	0	0
GSE278576	OPC	78	101110010101011111011011011011	0	0	0	0
GSE278576	OPC	79	101111000101101110111111111000	0	0	0	0
GSE278576	OPC	80	111011010001011100101111111110	0	1	0	0
GSE278576	OPC	81	111111110100101100010111110110	0	0	0	0
GSE278576	OPC	82	000110011111011011110111111001	0	0	0	0
GSE278576	OPC	83	101110111110011111101101001010	0	0	0	0
GSE278576	OPC	84	110100101110111110001011111101	1	1	0	0
GSE278576	OPC	85	110100000011101111001111111111	114	153	20	24
GSE278576	OPC	86	101111011101001011101110101101	0	0	0	0
GSE278576	OPC	87	111111111110101000001100111101	3	4	3	3
GSE278576	OPC	88	100101011111010111111010101011	0	0	0	0
GSE278576	OPC	89	001001111110110001111110111110	4	16	0	2
GSE278576	OPC	90	010011011111010101011110111101	1	1	0	0
GSE278576	OPC	91	101010100011110110011111101111	0	0	0	0
GSE278576	OPC	92	111011110111001001001111111100	0	0	0	0
GSE278576	OPC	93	111101110111100110010110011110	0	0	0	0
GSE278576	OPC	94	001100111110110011111101011011	1	1	0	0
GSE278576	OPC	95	111111111011110111110001001000	1	1	1	1
GSE278576	OPC	96	011011111110001011110011011011	0	0	0	0
GSE278576	OPC	97	111101011011101110100111000111	0	0	0	0
GSE278576	OPC	98	011011100111111111011001000111	0	0	0	0
GSE278576	OPC	99	111111001100011011010111011110	0	0	0	0
